feature,gain
AFDP,72.81880187988281
AH,75.30512237548828
AP,91.32003784179688
AT,120.37017822265625
GTEP,190.58126831054688
CDP,281.6650085449219
TAT,476.8577575683594
TEY,489.4906921386719
TIT,1197.2264404296875
