feature,gain
AP,41.446617126464844
AH,42.20569610595703
CDP,65.6659927368164
AFDP,75.08738708496094
TEY,96.67587280273438
GTEP,130.20407104492188
TAT,134.5471649169922
TIT,240.96548461914062
AT,259.647705078125
