rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
1,89,TRIAL_0089_CDP_NEG,0.7324368424190552,B,True,0.7240702211316007,0.7515530229725516,0.7649190115045567,0.039630983021263444,0.8741540792949941,0.46372561612857266,0.04700551913246899,97.412109375,99.140625,62977,110.79628629997023,cc60cb3a934d733c81a034476c69e117792069e452dccda8feb7a6eefde729e2
2,59,TRIAL_0059_CDP_NEG,0.7317232932514741,A,True,0.7229152940822732,0.7515348928637275,0.7684686240790671,0.0433321346491473,0.8664460713981089,0.447317449181179,0.02907329548238175,99.70703125,99.94140625,61699,1766.422689500003,d875789f6411c7026763139eaec53d0e67191a6fa66db4115d3a7dc99ec8b4f0
3,81,TRIAL_0081_CDP_NEG,0.7317162842658099,B,True,0.7240067445833724,0.7497167406537797,0.7713274995835471,0.04735534638702223,0.8612253737088116,0.4424599858602769,0.05310710971481797,97.509765625,99.21875,76033,354.81643729998905,1a908ae96518cd74cbef6c32a651eedb396d04c4637d6cbb23c0aedd89308720
4,97,TRIAL_0097_CDP_NEG,0.7313363240111963,A,True,0.7204401679322299,0.7552789572420284,0.7703713423972145,0.04548598160471601,0.8628493323038093,0.45094307680535745,0.03203610690678102,99.609375,99.912109375,35043,2027.6875984999933,f65f6d1b38d5c7781b8394f65a2842751c4b8ab03b9f5397d4077b772ce935b6
5,65,TRIAL_0065_CDP_NEG,0.7311232433299428,B,True,0.7177085678958482,0.7586575588970131,0.7723662638717725,0.043357914638473445,0.8590656002915121,0.4575995530045171,0.02380402486708923,95.556640625,96.708984375,25795,145.14844910001557,f6c923879d905defa9eab146df6cff2fda51dce75d0983bcb05bf23b4df0be8f
6,75,TRIAL_0075_CDP_NEG,0.7309283720170692,A,True,0.7258857851990317,0.7445145393084626,0.7640404369348422,0.04361504588372809,0.8754239669795958,0.4467782815656526,0.04370077819809627,99.51171875,99.814453125,72963,1301.462584000008,73c114f9f84ade0f7657d5cd25a7c20733c9658a09538f9d1fc4f8dfcffa6af0
7,116,TRIAL_0116_CDP_NEG,0.7295421950216039,B,True,0.7176019651935973,0.7562330985393277,0.7706612708388549,0.04955040740238297,0.8624762694365717,0.4490788530532754,0.0457687021191409,97.265625,98.466796875,54913,2797.5066853999742,07019e7fe1426c583572257383e96cda6947ebfda6dd38c83e754c43f1271f92
8,86,TRIAL_0086_CDP_NEG,0.7293040253962775,A,True,0.7174688152012494,0.7552998619777147,0.768377342248819,0.046049565426684626,0.8670460770568592,0.4556568357285709,0.03801100713422028,99.90234375,99.98046875,92353,2291.2672078999894,48f77edf37346865aa74eb99498e9c0a53f446055d5f722a020faafca9c7a183
9,107,TRIAL_0107_CDP_NEG,0.7277910336072332,B,True,0.7253449927118585,0.7368267046980006,0.7622380131752473,0.04687774746806673,0.8781686123419841,0.4503004335234696,0.03761016047423743,97.55859375,99.130859375,42209,596.5295247000176,29ef0076663af1607b7722b944686fd0d36acd1a4880e000b8b5367301fdc784
10,10,TRIAL_0010_CDP_NEG,0.7273554189368931,A,True,0.7181969814901884,0.7484039682674497,0.765680771728008,0.04652037610255593,0.872204645197249,0.4533723165165517,0.04848188138335725,99.90234375,99.970703125,77251,3673.449993999995,ec23e801c9c0bf7212fafd5c3edc8557d733607943c8d104715952d93e27f7b6
11,119,TRIAL_0119_CDP_NEG,0.7269523287483511,B,True,0.7130326629439799,0.7559458638813307,0.7654150174489979,0.0419252992733589,0.8729081707918638,0.46419734978129723,0.04239063645820055,97.607421875,98.974609375,107201,130.2623083999788,ba07ea3cece2c04267a4d34d0b588fc68903b3a4749337d2220e0710a784a067
12,62,TRIAL_0062_CDP_NEG,0.7264089803060746,A,True,0.7214707890930252,0.7388022040440563,0.7614856379666243,0.04262718159619862,0.8799780603497478,0.4633866657816146,0.031014771810472946,99.31640625,99.84375,41123,1608.071014400004,79ea48102b29ea567a303c3bc1288061ec2e26cc10e18b963f327960a8ee0a9d
13,74,TRIAL_0074_CDP_NEG,0.7251536416066735,A,True,0.7118793117949378,0.7530183197062819,0.7686496863066281,0.04744410012836572,0.8657923263730843,0.45606044740157137,0.04479906919347067,99.658203125,99.86328125,37441,2932.125620299994,d6a6bf6e03801ed6629e9b04b97e5cc532836fa7ce474c6e661af2cd6d1a9b25
