candidate,trial_number,config_hash,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,0,21,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,29356,10.44037070000195,0.07366418838500977,0.091796875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.8336325261022506,0.6324412119651612,0.41332152886036694,0.02810413320124715,0.40783110735140016,-0.007023210892853852,0.6324806521394225,0.9159317218657385,0.9054724395932372,0.18612138362732913,0.0,0.07536846399307251,0.06610627472400665,0.07536846399307251,59.66796875,40.33203125,0.0,-0.037360288202762604,-0.05524184927344322,-0.7349598407745361,0.7947506308555603,-0.0224120132625103,-0.03313896059989929,-0.44089412689208984,0.47676193714141846,55.517578125,44.482421875,0.0,-0.016976967453956604,NONE,80,62977,10.440018900000723,1024,1024,500,125,125,140,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,1,21,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,29356,13.831341999997676,0.06545352935791016,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7230408596774616,0.968808639173755,0.47827591517857804,0.02658418938964675,0.5261571871465853,-0.09885709130737398,0.9639567045203694,0.8523728875081943,0.7476767483925183,0.47215031940512797,0.0,0.0933692678809166,0.018096141517162323,0.0933692678809166,50.5859375,49.4140625,0.0,-0.0456925630569458,-0.004681238904595375,-0.6215890645980835,0.46558693051338196,-0.027782000601291656,-0.002846287563443184,-0.3779386878013611,0.28308621048927307,39.306640625,60.693359375,0.0,0.04069789871573448,NONE,125,62977,13.83095570000296,1024,1024,500,125,125,185,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,2,21,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,29356,13.791349400002218,0.06728887557983398,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7807511618318811,0.8010925082112726,0.45774254125884684,0.041867560841403716,0.4681581681094968,-0.020814359915920167,0.8009622951141402,0.884583213405181,0.8177410404001456,0.3690465240055225,0.0,0.09138941019773483,0.022634629160165787,0.09138941019773483,62.060546875,37.939453125,0.0,-0.03588636964559555,-0.07498064637184143,-0.5402330756187439,0.6254004836082458,-0.0218393225222826,-0.04563087224960327,-0.32876890897750854,0.38059914112091064,57.470703125,42.529296875,0.0,-0.02182169072329998,NONE,130,62977,13.791018800002348,1024,1024,500,125,125,190,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,3,21,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,29356,7.314044600003399,0.0706033706665039,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7493699130546307,1.0626576413321203,0.4844571202884006,0.03252143121520889,0.5005556053900898,-0.011579939008960663,1.0627518152664266,0.8661621987490712,0.7251738706915378,0.5931300214659081,0.0,0.09971664100885391,0.02486150525510311,0.09971664100885391,47.36328125,52.63671875,0.0,0.01715296506881714,0.010079143568873405,-0.5051526427268982,0.5835244655609131,0.010476343333721161,0.006155938841402531,-0.3085270822048187,0.3563934564590454,46.630859375,53.369140625,0.0,0.007458658888936043,NONE,70,62977,7.3137223000012455,1024,1024,500,125,125,130,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,4,21,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,29356,7.359630400002061,0.06731700897216797,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7552093730507353,0.871108256250105,0.4532383153706052,0.027335398957941633,0.49467433659079046,-0.04222467167681149,0.8702405969631495,0.8694034224252659,0.7635300978894336,0.4511192199937104,0.0,0.08633069694042206,0.015122316777706146,0.08633069694042206,66.650390625,33.349609375,0.0,-0.12396794557571411,-0.09524773806333542,-0.7779638171195984,0.37833741307258606,-0.07520890235900879,-0.05778491869568825,-0.47197526693344116,0.22952982783317566,52.490234375,47.509765625,0.0,-0.005381060764193535,NONE,65,62977,7.359301900003629,1024,1024,500,125,125,125,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,29356,7.266785100000561,0.07366418838500977,0.091796875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.832393043474681,0.6347927691058324,0.41453727808841484,0.028208630621499718,0.40934751414864223,-0.019615192576667242,0.634568336911426,0.9136404093518559,0.7920245718052008,0.40533314604534837,0.0,0.07608044147491455,0.0739864706993103,0.07608044147491455,23.6328125,76.3671875,0.0,0.2417009472846985,0.283316433429718,-0.5803179144859314,0.904685914516449,0.14499369263648987,0.16995833814144135,-0.3481261730194092,0.5427109003067017,80.859375,19.140625,0.0,-0.06130252778530121,NONE,25,62977,7.266447300004074,1024,1024,500,125,125,125,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,29356,12.44963939999434,0.06545352935791016,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7264775836550603,0.9627790109348907,0.474018325042423,0.026418735890813547,0.5228825133819024,-0.06898489091260245,0.960508594832274,0.853344123765614,0.7433259024115397,0.511868482398195,0.0,0.09457134455442429,0.02945009618997574,0.09457134455442429,51.806640625,48.193359375,0.0,0.004627611488103867,-0.008601479232311249,-0.4820927381515503,0.4640883505344391,0.0028136800974607468,-0.005229872185736895,-0.2931220829486847,0.28217506408691406,41.943359375,58.056640625,0.0,0.021616773679852486,NONE,130,62977,12.449195200002578,1024,1024,500,125,125,190,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,29356,11.55628109999816,0.06728887557983398,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7722308116832114,0.8165099980697825,0.4684465265642403,0.042673326327981764,0.47716814353059156,-0.026204942892558602,0.8162322914035534,0.8793939962326948,0.7992480856637764,0.40321328128622375,0.0,0.09480933099985123,0.02853754162788391,0.09480933099985123,57.861328125,42.138671875,0.0,-0.02055816352367401,-0.04852549731731415,-0.5571468472480774,0.588732898235321,-0.012511054053902626,-0.029531098902225494,-0.3390621244907379,0.3582844138145447,58.3984375,41.6015625,0.0,-0.020914476364850998,NONE,105,62977,11.55593829999998,1024,1024,500,125,125,165,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,29356,9.299672199995257,0.0706033706665039,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7391886635429036,1.0840267504346708,0.49684333117959134,0.03317540854975072,0.510621337689408,-0.04411466473709865,1.0832890605034005,0.860619108829847,0.7128490360598324,0.587714079100006,0.0,0.10302332043647766,0.028662055730819702,0.10302332043647766,62.255859375,37.744140625,0.0,-0.1501370370388031,-0.14321008324623108,-0.9014297127723694,0.6128971576690674,-0.09169770777225494,-0.0874670147895813,-0.5505573153495789,0.37433311343193054,49.31640625,50.68359375,0.0,0.001985235372558236,NONE,70,62977,9.29929959999572,1024,1024,500,125,125,130,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,0,0,0.0
MLP_CO_INTERP_R5_MATCHED_ABLATION,89,d8c74cd850f3a586ebbb54ec7d109cae5d3d17a8e5c8621d53c6b57b7e1a38c5,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,29356,10.316157799999928,0.06731700897216797,0.072265625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7500130628645227,0.8803054597625287,0.47234592659427516,0.027624007435137952,0.49989713239527933,0.0503686457945903,0.8790211854565338,0.8665754510519209,0.7605065586737171,0.5500205055827743,0.0,0.09364493936300278,0.022543814033269882,0.09364493936300278,71.044921875,28.955078125,0.0,-0.2215011715888977,-0.1689256727695465,-1.2071021795272827,0.3380963206291199,-0.13438038527965546,-0.10248386859893799,-0.73232501745224,0.20511634647846222,57.91015625,42.08984375,0.0,-0.023457545787096024,NONE,80,62977,10.31580610000674,1024,1024,500,125,125,140,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,0,0,0.0
