trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
0,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15880,0.7279412999996566,0.02107095718383789,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5432184111193789,1.0479492386477591,0.6923850157240633,0.046568288773573066,0.6757723727676928,0.014470433442468112,1.047979293402195,0.7383307092538832,0.5135757837593711,1.0083626655736697,0.0,0.32314571738243103,0.004757358692586422,0.32552438974380493,96.77734375,3.22265625,0.0,-0.3931487202644348,-0.35633355379104614,-0.7689644694328308,-0.04307285696268082,-0.23584550619125366,-0.21376048028469086,-0.46129313111305237,-0.02583892084658146,100.0,0.0,0.0,-0.025000765919685364,CDP_NEG,2,449,0.7269942000020819,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,48,48,100.0,CDP,1.4710406730757069,20,0.99,1.4710406730757069
0,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,8480,0.7349928000003274,0.020636558532714844,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5038607204251204,1.2966774476891691,0.7278011811874985,0.0355809366812121,0.7042217946099308,-0.1642697374288905,1.2865036152683516,0.734877061643158,0.41659156188057095,1.1559833090744245,0.0,0.3546076714992523,0.006714729126542807,0.35796502232551575,92.08984375,7.91015625,0.0,-0.4314039945602417,-0.4640218913555145,-0.7836882472038269,0.039502453058958054,-0.26230230927467346,-0.28213465213775635,-0.47649821639060974,0.024018285796046257,100.0,0.0,0.0,-0.02822262980043888,CDP_NEG,2,449,0.7346849999994447,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,48,48,100.0,CDP,1.4510426770894138,20,0.99,1.4510426770894138
0,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,15880,0.7502428000007058,0.020728588104248047,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4876684577612883,1.224586781311838,0.8197350759575722,0.06400067538595747,0.7156480660518899,-0.045189630999347245,1.2239670033787533,0.7035641834513456,0.43768719177434884,1.15762513836235,0.0,0.4545115530490875,0.004129618871957064,0.4565763771533966,97.412109375,2.587890625,0.0,-0.3913421034812927,-0.3679729104042053,-0.7483389377593994,-0.04542570561170578,-0.23815853893756866,-0.2239367961883545,-0.45541563630104065,-0.02764466032385826,100.0,0.0,0.0,-0.0264594666659832,CDP_NEG,2,449,0.7498826000010013,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,48,48,100.0,CDP,1.4524627365104603,20,0.99,1.4524627365104603
0,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,8480,0.7543787000031443,0.020952224731445312,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.44272884200020957,1.58456496836412,0.8491800880006991,0.04849381270159954,0.746395495754533,-0.19789436953224626,1.57239169988781,0.7056526872568988,0.34573886659283143,1.2417002757019078,0.0,0.46330052614212036,0.007806509733200073,0.4672037959098816,91.89453125,8.10546875,0.0,-0.3513464331626892,-0.3340150713920593,-0.7342230677604675,0.03049979731440544,-0.21458837389945984,-0.20400309562683105,-0.44843414425849915,0.018628058955073357,100.0,0.0,0.0,-0.02486399933695793,CDP_NEG,2,449,0.7540343000000576,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,48,45,93.75,CDP,1.4666426917497317,20,0.99,1.4666426917497317
0,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,35316,1.2501564999984112,0.020714759826660156,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.47159212970385866,1.2798508947452043,0.79108188643759,0.040161753218986906,0.726786123022855,-0.037034468705126625,1.2795447816070227,0.6886868090050792,0.4415863762022387,1.1279761642227597,0.0,0.3903055191040039,0.005225087516009808,0.39291805028915405,96.6796875,3.3203125,0.0,-0.3887878954410553,-0.37224218249320984,-0.7429490685462952,-0.02968500554561615,-0.23586994409561157,-0.22583195567131042,-0.4507324993610382,-0.018009306862950325,100.0,0.0,0.0,-0.02625088207423687,CDP_NEG,2,449,1.249847700000828,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,48,48,100.0,CDP,1.460840537792371,20,0.99,1.460840537792371
2,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15704,0.1575487999980396,0.02107095718383789,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5432184111193789,1.0479492386477591,0.6923850157240633,0.046568288773573066,0.6757723727676928,0.014470433442468112,1.047979293402195,0.7383307092538832,0.5135757837593711,1.0083626655736697,0.0,0.32314571738243103,0.004757358692586422,0.32552438974380493,96.77734375,3.22265625,0.0,-0.3931487202644348,-0.35633355379104614,-0.7689644694328308,-0.04307285696268082,-0.23584550619125366,-0.21376048028469086,-0.46129313111305237,-0.02583892084658146,100.0,0.0,0.0,-0.025000765919685364,CDP_NEG,2,449,0.15717420000146376,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,48,48,100.0,CDP,1.4710406730757069,20,0.99,1.4710406730757069
2,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,15704,0.19380919999821344,0.020636558532714844,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5038607204251204,1.2966774476891691,0.7278011811874985,0.0355809366812121,0.7042217946099308,-0.1642697374288905,1.2865036152683516,0.734877061643158,0.41659156188057095,1.1559833090744245,0.0,0.3546076714992523,0.006714729126542807,0.35796502232551575,92.08984375,7.91015625,0.0,-0.4314039945602417,-0.4640218913555145,-0.7836882472038269,0.039502453058958054,-0.26230230927467346,-0.28213465213775635,-0.47649821639060974,0.024018285796046257,100.0,0.0,0.0,-0.02822262980043888,CDP_NEG,2,449,0.19348149999859743,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,48,48,100.0,CDP,1.4510426770894138,20,0.99,1.4510426770894138
2,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,15704,0.16261389999999665,0.020728588104248047,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4876684577612883,1.224586781311838,0.8197350759575722,0.06400067538595747,0.7156480660518899,-0.045189630999347245,1.2239670033787533,0.7035641834513456,0.43768719177434884,1.15762513836235,0.0,0.4545115530490875,0.004129618871957064,0.4565763771533966,97.412109375,2.587890625,0.0,-0.3913421034812927,-0.3679729104042053,-0.7483389377593994,-0.04542570561170578,-0.23815853893756866,-0.2239367961883545,-0.45541563630104065,-0.02764466032385826,100.0,0.0,0.0,-0.0264594666659832,CDP_NEG,2,449,0.1623020999977598,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,48,48,100.0,CDP,1.4524627365104603,20,0.99,1.4524627365104603
2,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,15704,0.8138094000023557,0.020952224731445312,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.44272884200020957,1.58456496836412,0.8491800880006991,0.04849381270159954,0.746395495754533,-0.19789436953224626,1.57239169988781,0.7056526872568988,0.34573886659283143,1.2417002757019078,0.0,0.46330052614212036,0.007806509733200073,0.4672037959098816,91.89453125,8.10546875,0.0,-0.3513464331626892,-0.3340150713920593,-0.7342230677604675,0.03049979731440544,-0.21458837389945984,-0.20400309562683105,-0.44843414425849915,0.018628058955073357,100.0,0.0,0.0,-0.02486399933695793,CDP_NEG,2,449,0.8134589000001142,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,48,45,93.75,CDP,1.4666426917497317,20,0.99,1.4666426917497317
2,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,15704,0.864297300002363,0.020714759826660156,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.47159212970385866,1.2798508947452043,0.79108188643759,0.040161753218986906,0.726786123022855,-0.037034468705126625,1.2795447816070227,0.6886868090050792,0.4415863762022387,1.1279761642227597,0.0,0.3903055191040039,0.005225087516009808,0.39291805028915405,96.6796875,3.3203125,0.0,-0.3887878954410553,-0.37224218249320984,-0.7429490685462952,-0.02968500554561615,-0.23586994409561157,-0.22583195567131042,-0.4507324993610382,-0.018009306862950325,100.0,0.0,0.0,-0.02625088207423687,CDP_NEG,2,449,0.8639776999989408,2048,2048,2,1,75,2,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,48,48,100.0,CDP,1.460840537792371,20,0.99,1.460840537792371
