metric,mean,median,std,min,max,pinn_improves_pct
delta_R2,0.0011867896478621055,0.0013620496931956438,0.004222719070732906,-0.008407457167751708,0.009925380525034555,64.0
delta_RMSE,-0.00203303157463556,-0.0027156008531511455,0.007867499595290843,-0.01724855744659126,0.016824416514879093,64.0
delta_MAE,-0.0031069096383108197,-0.00032699647017508937,0.009085933155567449,-0.02851748788336511,0.008042073578455988,52.0
delta_bias_abs,0.005016803864298016,0.0007406699591772092,0.04424159235568591,-0.08485597905506488,0.07349158878273823,48.0
delta_training_time,15.059940236003603,13.96690980000858,5.431610233059495,4.839272800003528,29.04797969997162,0.0
delta_PCD,49.009765625,47.705078125,13.891476559649213,26.3671875,79.052734375,100.0
