candidate,trial_number,config_hash,stage,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,0,21,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,28464,176.2604730000021,0.21203231811523438,0.263671875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.26065521214057286,1.3332434503164552,0.8241300998525398,0.05924606241417432,0.8597449730102563,0.20242795069579086,1.3179498564560461,0.7422632594779187,0.9389643944172912,0.3271396986858791,0.818452380952381,0.2322043925523758,0.0005521721905097365,0.2330424040555954,85.15625,14.84375,0.048828125,-0.09251794219017029,-0.06471896171569824,-0.331131249666214,0.042642343789339066,-0.055500466376543045,-0.0388241782784462,-0.19864191114902496,0.02558066137135029,53.857421875,46.142578125,0.0,-0.04896537959575653,CDP_NEG,215,76033,176.2598558000027,512,512,600,60,75,275,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,448,439,97.99107142857143,CDP,1.4710406730757069,20,0.99,1.4710406730757069
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,1,21,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,28464,163.4170230000018,0.21957015991210938,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3380548250481249,1.4977563242862006,0.87316557183168,0.04109855772789455,0.8134271544992892,0.05324454786062722,1.4971279163286715,0.6796697233947059,0.700378027123188,0.7312889446215916,0.9778911564625851,0.25562185049057007,0.0005305975791998208,0.2564271092414856,90.478515625,9.521484375,0.0,-0.25040769577026367,-0.20107319951057434,-0.7191566228866577,0.056214138865470886,-0.1522529125213623,-0.1222565621137619,-0.437261700630188,0.03417932987213135,48.53515625,51.46484375,0.0,0.021678868681192398,CDP_NEG,175,76033,163.41642110000248,512,512,600,60,75,235,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,448,441,98.4375,CDP,1.4510426770894138,20,0.99,1.4510426770894138
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,2,21,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,28464,143.45186309999553,0.21724891662597656,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3904653367027898,1.3357132191631165,0.8103104918685329,0.06980848515840866,0.780590315592024,0.06098504653368445,1.3345539477198862,0.732802402616143,0.8162955316336087,0.4539379448432012,1.8907563025210083,0.24715279042720795,0.004766962956637144,0.25438737869262695,93.212890625,6.787109375,0.0,-0.5409787893295288,-0.4269198179244995,-1.5113697052001953,0.05267079547047615,-0.32922273874282837,-0.25981003046035767,-0.919772207736969,0.03205379843711853,54.541015625,45.458984375,0.0,-0.07296769320964813,CDP_NEG,85,76033,143.45073899999988,512,512,600,60,75,145,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,448,436,97.32142857142857,CDP,1.4524627365104603,20,0.99,1.4524627365104603
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,3,21,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,28464,163.86592799999926,0.21503210067749023,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5702340003241642,1.3915307059775923,0.8020813244070725,0.04258621815542715,0.6554683915662151,0.07726389406080868,1.389589671522989,0.7761652220714014,0.7388113322461007,0.6519668502585062,1.8052678307191476,0.2519787847995758,0.0007126830751076341,0.25306040048599243,86.669921875,13.330078125,0.0,-0.16669219732284546,-0.12997321784496307,-0.5004230737686157,0.07281652837991714,-0.10180894285440445,-0.07938244938850403,-0.3056384325027466,0.04447342827916145,49.70703125,50.29296875,0.0,0.0032604774460196495,CDP_NEG,180,76033,163.86498979999305,512,512,600,60,75,240,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,448,445,99.33035714285714,CDP,1.4666426917497317,20,0.99,1.4666426917497317
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,4,21,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,28464,158.6757856999975,0.2190852165222168,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.032197602356202726,1.7887768290374848,0.8959160190459694,0.05613186181812808,1.0157887781045685,0.18506624579478592,1.779497249418266,0.6080898176785728,0.7499739567287751,0.7066921275898151,2.514367816091954,0.28431838750839233,1.54979970830027e-05,0.2843419015407562,77.294921875,22.705078125,0.0,-0.012172237038612366,-0.007791263982653618,-0.043233007192611694,0.011728022247552872,-0.0073846555314958096,-0.004726805724203587,-0.026228610426187515,0.007115159183740616,54.443359375,45.556640625,0.0,-0.061303019523620605,CDP_NEG,210,76033,158.67431420000503,512,512,600,60,75,270,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,448,443,98.88392857142857,CDP,1.460840537792371,20,0.99,1.460840537792371
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,28464,166.73862530000042,0.21206331253051758,0.263671875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.18127700196767593,1.4029895815900018,0.851669440531919,0.06234540908308084,0.9047209192525666,0.16859658909589553,1.3929954110395542,0.7034871774353126,0.88136054950469,0.4110080980929545,0.5456349206349206,0.24041441082954407,0.0007528679561801255,0.24155700206756592,85.791015625,14.208984375,0.0,-0.14786219596862793,-0.10803250968456268,-0.4857768714427948,0.06653211265802383,-0.08870087563991547,-0.06480748951435089,-0.2914120852947235,0.039911866188049316,52.83203125,47.16796875,0.0,-0.04540257900953293,CDP_NEG,160,76033,166.7379774000001,512,512,600,60,75,220,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,448,444,99.10714285714286,CDP,1.4710406730757069,20,0.99,1.4710406730757069
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,28464,214.4901966999969,0.21919965744018555,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3348714361119476,1.5013534667743347,0.9140119415309045,0.04119726361603326,0.8153807522448009,0.07954909735907473,1.4995633528100265,0.7137377089389586,0.8060160768326066,0.5185346327071061,2.1683673469387754,0.2670086920261383,5.416953354142606e-05,0.26709091663360596,78.80859375,21.19140625,0.0,-0.021319512277841568,-0.014493041671812534,-0.08317539840936661,0.019003625959157944,-0.012962693348526955,-0.008812060579657555,-0.050572313368320465,0.011554587632417679,51.611328125,48.388671875,0.0,-0.025570636615157127,CDP_NEG,305,76033,214.4895295000024,512,512,600,60,75,365,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,448,422,94.19642857142857,CDP,1.4510426770894138,20,0.99,1.4510426770894138
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,28464,154.75848559999577,0.21751689910888672,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.2101528111644837,1.5204969674749138,0.8023576649481102,0.07946585274785373,0.8885778703617192,0.11254751300295758,1.5165913836138363,0.7201423562607173,0.9157454929771909,0.29277204986190647,1.050420168067227,0.224779412150383,0.0013562228996306658,0.22683767974376678,92.626953125,7.373046875,0.0,-0.43160587549209595,-0.29504263401031494,-1.354372262954712,0.0500941276550293,-0.26266181468963623,-0.17955371737480164,-0.8242285251617432,0.030485717579722404,54.248046875,45.751953125,0.0,-0.0648021325469017,CDP_NEG,145,76033,154.75786549999611,512,512,600,60,75,205,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,448,432,96.42857142857143,CDP,1.4524627365104603,20,0.99,1.4524627365104603
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,28464,147.98739270000078,0.2147364616394043,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5360176355247877,1.4458641979038112,0.8421668008079726,0.044249033018495906,0.6810617086292653,0.13912277599190906,1.4393683567518287,0.7638821259732806,0.742290374156595,0.7061706693268458,1.361349511689849,0.2551933526992798,0.0005550796049647033,0.25603577494621277,87.158203125,12.841796875,0.0,-0.12523704767227173,-0.09015008807182312,-0.4016861617565155,0.04405682161450386,-0.07648979127407074,-0.05506007373332977,-0.24533388018608093,0.02690814808011055,53.125,46.875,0.0,-0.045728687196969986,CDP_NEG,120,76033,147.98675560000265,512,512,600,60,75,180,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,448,442,98.66071428571429,CDP,1.4666426917497317,20,0.99,1.4666426917497317
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,28464,153.8833098000032,0.21909809112548828,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0862447512781035,1.83501062450127,0.91815583918948,0.05758267948088661,1.0420434622210692,0.21288833549712355,1.82294712043094,0.5981691617663967,0.7497924286417809,0.7348929368335646,2.9094827586206895,0.3068367838859558,0.002464117482304573,0.310576468706131,89.794921875,10.205078125,0.0,-0.2504754662513733,-0.1864226907491684,-0.7616357207298279,0.055267881602048874,-0.15195851027965546,-0.11309895664453506,-0.4620693325996399,0.03352992981672287,55.17578125,44.82421875,0.0,-0.0981573835015297,CDP_NEG,120,76033,153.88265539999702,512,512,600,60,75,180,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,448,446,99.55357142857143,CDP,1.460840537792371,20,0.99,1.460840537792371
