epoch,loss_data,loss_physics,loss_total,physics_warmup,learning_rate
1,0.4474024158409882,0.0005834815129575642,0.40344819338788823,0.1,0.0002400903032956889
2,0.3154966440650074,0.0,0.15447153567039354,0.2,0.0002400903032956889
3,0.2946413652672247,0.0,-0.00794222454761795,0.3,0.0002400903032956889
4,0.284540981883921,0.0,-0.18358093075757365,0.4,0.0002400903032956889
5,0.2783418543780386,1.5098939288486838e-08,-0.378351385256463,0.5,0.0002400903032956889
6,0.2723802401658299,4.174419637178226e-08,-0.596410221984606,0.6,0.0002400903032956889
7,0.2665933920369669,4.971748646903866e-07,-0.8372382231264094,0.7,0.0002400903032956889
8,0.26136430991091614,1.678740028522481e-05,-1.0991896071194072,0.8,0.0002400903032956889
9,0.2572504038537595,6.775790319814055e-05,-1.379811707732509,0.9,0.0002400903032956889
10,0.25228805050285774,9.212043460077325e-05,-1.6835321334751057,1.0,0.0002400903032956889
11,0.24999306269580343,9.86779656539494e-05,-1.8444425877207606,1.0,0.0002400903032956889
12,0.2462829571273138,0.00014199876700233074,-1.9966752247075197,1.0,0.0002400903032956889
13,0.2441303174009415,0.0001221258610672706,-2.1361013211836397,1.0,0.0002400903032956889
14,0.24136419966019196,0.0001099283435352153,-2.27108460575406,1.0,0.0002400903032956889
15,0.23687837293622835,0.00013946517880757229,-2.408202615361142,1.0,0.0002400903032956889
16,0.2340867491139845,0.00010264687860152478,-2.5372246519145927,1.0,0.0002400903032956889
17,0.23176335785896926,0.00010269715559573761,-2.6622035054119038,1.0,0.0002400903032956889
18,0.22693786529197937,9.209011728526926e-05,-2.7964820136860555,1.0,0.0002400903032956889
19,0.22564672760075113,8.743004206380519e-05,-2.915461882534068,1.0,0.0002400903032956889
20,0.22320078573403063,8.662482804176607e-05,-3.038418882664062,1.0,0.0002400903032956889
21,0.22208252365698905,6.850125922228653e-05,-3.1553197203152186,1.0,0.0002400903032956889
22,0.2182914941737177,8.499440686320268e-05,-3.2836991262640125,1.0,0.0002400903032956889
23,0.2162090679530924,8.055908689502808e-05,-3.4050733795513177,1.0,0.0002400903032956889
24,0.21477002205379003,6.705672363376535e-05,-3.523425803449986,1.0,0.0002400903032956889
25,0.21226323067312322,6.783275960158138e-05,-3.6463885769343736,1.0,0.0002400903032956889
26,0.20842025882107798,7.28302405570106e-05,-3.7751991519070285,1.0,0.0002400903032956889
27,0.20651234611390235,6.148984055414043e-05,-3.895730436231135,1.0,0.0002400903032956889
28,0.20331149382369165,6.219754872045818e-05,-4.021981349593823,1.0,0.0002400903032956889
29,0.2000905105911945,7.415476127248966e-05,-4.148275373834614,1.0,0.0002400903032956889
30,0.19713494355533057,6.812600446564261e-05,-4.2738542857976745,1.0,0.0002400903032956889
31,0.1962611422548968,5.399880002883347e-05,-4.3890668283948555,1.0,0.0002400903032956889
32,0.1931557204630186,5.001048068275525e-05,-4.515134454028765,1.0,0.0002400903032956889
33,0.1918460544382224,4.283214630553754e-05,-4.632538771476174,1.0,0.0002400903032956889
34,0.19002161320195207,5.104950675943323e-05,-4.751562611704465,1.0,0.0002400903032956889
35,0.1870142651893342,4.2836616262314136e-05,-4.877814672743738,1.0,0.0002400903032956889
36,0.18489569629795802,3.4236735851826537e-05,-4.99957759987874,1.0,0.0002400903032956889
37,0.18135667451890683,3.455109423982553e-05,-5.127805766507952,1.0,0.0002400903032956889
38,0.18049928715065663,3.037931879727167e-05,-5.242291624081466,1.0,0.0002400903032956889
39,0.1779087204047393,3.1222300671349526e-05,-5.365754441990331,1.0,0.0002400903032956889
40,0.17799909596333413,3.1624310063157896e-05,-5.474467438344527,1.0,0.0002400903032956889
41,0.1746701697242592,2.1732690193838817e-05,-5.6034588282828155,1.0,0.0002400903032956889
42,0.1720668596536623,2.8995926459907736e-05,-5.725666694518585,1.0,0.0002400903032956889
43,0.17178054174659593,1.9276595063296543e-05,-5.838051795959473,1.0,0.0002400903032956889
44,0.17081053524698894,3.087531249609786e-05,-5.95073908707825,1.0,0.0002400903032956889
45,0.16826120783162066,1.762637439778277e-05,-6.076747414386757,1.0,0.0002400903032956889
46,0.16785588887633807,2.8801495612463417e-05,-6.185138585991216,1.0,0.0002400903032956889
47,0.16571381246188469,2.2612935748589373e-05,-6.30752482404035,1.0,0.0002400903032956889
48,0.1644640841882285,1.3325235233458336e-05,-6.426781118299006,1.0,0.0002400903032956889
49,0.16392279569482396,1.6054169849093987e-05,-6.5370444791985785,1.0,0.0002400903032956889
50,0.16285390357389185,2.012830344477341e-05,-6.649859743914717,1.0,0.0002400903032956889
51,0.16241356202379284,1.2259260137550519e-05,-6.76276951632612,1.0,0.0002400903032956889
52,0.1586911196738673,1.2039334650818568e-05,-6.893696647129427,1.0,0.0002400903032956889
53,0.15717610384973776,9.777765951754687e-06,-7.012317280697873,1.0,0.0002400903032956889
54,0.15796110267717017,1.2476535927744866e-05,-7.114380957993501,1.0,0.0002400903032956889
55,0.15434615277312297,1.053961302130941e-05,-7.247306084479714,1.0,0.0002400903032956889
56,0.1543457746122838,1.0711797904173647e-05,-7.354916118197063,1.0,0.0002400903032956889
57,0.15411848613964413,1.0199329909088085e-05,-7.463547587139448,1.0,0.0002400903032956889
58,0.1539266064475895,1.0225605862322876e-05,-7.570678935571707,1.0,0.0002400903032956889
59,0.1545774333290676,9.838396216285035e-06,-7.672957876764988,1.0,0.0002400903032956889
60,0.1526864907151882,6.423436815018833e-06,-7.795884397862045,1.0,0.0002400903032956889
61,0.15141469552889625,2.8285112502611805e-06,-7.916481406070946,1.0,0.0002400903032956889
