candidate_id,seed,test_blocks,annual_penalty,overall_penalty,x_mean_gap,density_levels,operating_levels,score,test_rows,test_fraction,marginal_coverage,knn_coverage,threshold,failing_marginal_rows,failing_knn_rows,status,rejection_reason,blocks
33,33339,45,0.00664252050689,0.00580949010427,0.0677653831048,4,4,0.116740395147,7560,0.205809490104,1,0.99246031746,1.42487074286,0,57,REJECTED,,
34,34348,46,0.00771226355881,0.0076606865761,0.0801682941171,4,4,0.141608517674,7628,0.207660686576,1,0.986890403776,1.44552907763,0,100,REJECTED,,
35,35357,45,0.00664252050689,0.00580949010427,0.11855298296,4,4,0.167527995002,7560,0.205809490104,1,0.99537037037,1.45237820909,0,35,REJECTED,,
36,36366,45,0.00664252050689,0.00580949010427,0.101728051863,4,4,0.150703063905,7560,0.205809490104,1,0.989153439153,1.41526525963,0,82,REJECTED,,
37,37375,45,0.00664252050689,0.00580949010427,0.124365840325,4,4,0.173340852367,7560,0.205809490104,1,0.996560846561,1.43683916869,0,26,REJECTED,,
38,38384,46,0.00715527182251,0.00632673617728,0.131836011384,4,4,0.184935507738,7579,0.206326736177,1,0.996173637683,1.42734275023,0,29,REJECTED,,
39,39393,46,0.00771226355881,0.0076606865761,0.128892380901,4,4,0.190332604458,7628,0.207660686576,1,0.992920818039,1.43991034421,0,54,REJECTED,,
40,40402,45,0.00441241296437,0.0036316119021,0.110651255049,4,4,0.142046553453,7480,0.203631611902,1,0.995989304813,1.44820970167,0,30,REJECTED,,
41,41411,46,0.00771226355881,0.0076606865761,0.121201297902,4,4,0.182641521459,7628,0.207660686576,1,0.996329313057,1.42967380757,0,28,REJECTED,,
42,42420,45,0.00664252050689,0.00580949010427,0.170840915899,4,4,0.219815927941,7560,0.205809490104,1,0.995238095238,1.44453683315,0,36,REJECTED,,
43,43429,45,0.00664252050689,0.00580949010427,0.097664797443,4,4,0.146639809485,7560,0.205809490104,1,0.997486772487,1.43041345536,0,19,REJECTED,,
44,44438,45,0.00664252050689,0.00580949010427,0.121603695594,4,4,0.170578707636,7560,0.205809490104,1,0.992989417989,1.44523195569,0,53,REJECTED,,
45,45447,45,0.00664252050689,0.00580949010427,0.144785495467,4,4,0.193760507509,7560,0.205809490104,1,0.984920634921,1.42319834178,0,114,REJECTED,,
46,46456,45,0.00664252050689,0.00580949010427,0.146768815985,4,4,0.195743828027,7560,0.205809490104,1,0.997222222222,1.45493213426,0,21,REJECTED,,
47,47465,46,0.00771226355881,0.0076606865761,0.196613954197,4,4,0.258054177754,7628,0.207660686576,1,0.997378080755,1.43043192057,0,20,REJECTED,,
48,48474,46,0.00771226355881,0.0076606865761,0.0983011003979,4,4,0.159741323955,7628,0.207660686576,1,0.996067121133,1.45757578472,0,30,REJECTED,,
49,49483,46,0.00715527182251,0.00632673617728,0.0979757540339,4,4,0.151075250388,7579,0.206326736177,1,0.996173637683,1.44718478726,0,29,REJECTED,,
50,50492,46,0.00771226355881,0.0076606865761,0.0391867313052,4,4,0.100626954862,7628,0.207660686576,1,0.991872050341,1.44475127942,0,62,REJECTED,,
51,51501,45,0.00664252050689,0.00580949010427,0.168474444507,4,4,0.217449456549,7560,0.205809490104,1,0.996693121693,1.43253693043,0,25,REJECTED,,
52,52510,45,0.00664252050689,0.00580949010427,0.125030285258,4,4,0.1740052973,7560,0.205809490104,1,0.997486772487,1.43525564867,0,19,REJECTED,,
53,53519,45,0.00664252050689,0.00580949010427,0.134563415148,4,4,0.18353842719,7560,0.205809490104,1,0.997883597884,1.43794753758,0,16,REJECTED,,
54,54528,45,0.00479842997881,0.00401274058748,0.0776959011474,4,4,0.112154894021,7494,0.204012740587,1,0.99826527889,1.4383300383,0,13,REJECTED,,
55,55537,45,0.00664252050689,0.00580949010427,0.129252551491,4,4,0.178227563533,7560,0.205809490104,1,0.987698412698,1.42355480006,0,93,REJECTED,,
56,56546,45,0.00664252050689,0.00580949010427,0.133291324712,4,4,0.182266336754,7560,0.205809490104,1,0.998677248677,1.44216338424,0,10,REJECTED,,
