trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
72,5,5,0.8050233891906954,72.65625,COMPLETE_FIVE_FOLDS,promotion_completed,0
73,2,2,0.8117479463449104,80.859375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
73,5,5,0.8117479463449104,80.859375,COMPLETE_FIVE_FOLDS,promotion_completed,0
74,2,2,0.7927325284533514,57.861328125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
74,5,5,0.7927325284533514,57.861328125,COMPLETE_FIVE_FOLDS,promotion_completed,0
75,2,2,0.8153864098167201,72.265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
75,5,5,0.8153864098167201,72.265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
76,2,2,0.7952002377054022,86.328125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
76,5,5,0.7952002377054022,86.328125,COMPLETE_FIVE_FOLDS,promotion_completed,0
77,2,2,0.7917793185463531,98.779296875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
78,2,2,0.8182357514148012,94.091796875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
78,5,5,0.8182357514148012,94.091796875,COMPLETE_FIVE_FOLDS,promotion_completed,0
79,2,2,0.7868155178156547,99.462890625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
80,2,2,0.7576538802594938,100.0,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
81,2,2,0.8169839503064413,94.04296875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
81,5,5,0.8169839503064413,94.04296875,COMPLETE_FIVE_FOLDS,promotion_completed,0
82,2,2,0.8161183996608499,91.259765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
82,5,5,0.8161183996608499,91.259765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
83,2,2,0.790582545575622,100.0,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
84,2,2,0.8119281131165182,98.14453125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
84,5,5,0.8119281131165182,98.14453125,COMPLETE_FIVE_FOLDS,promotion_completed,0
85,2,2,0.8099011092710253,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
85,5,5,0.8099011092710253,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
86,2,2,0.6954182246408946,76.611328125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
87,2,2,0.7774150861777082,91.11328125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
88,2,2,0.8269004422008213,86.669921875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
88,5,5,0.8269004422008213,86.669921875,COMPLETE_FIVE_FOLDS,promotion_completed,0
89,2,2,0.8182827130267338,94.7265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
89,5,5,0.8182827130267338,94.7265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
90,2,2,0.8091119130902292,81.8359375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
90,5,5,0.8091119130902292,81.8359375,COMPLETE_FIVE_FOLDS,promotion_completed,0
91,2,2,0.8151260091612018,86.767578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
91,5,5,0.8151260091612018,86.767578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
92,2,2,0.8117060869177914,90.380859375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
92,5,5,0.8117060869177914,90.380859375,COMPLETE_FIVE_FOLDS,promotion_completed,0
93,2,2,0.8042555803145156,85.693359375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
94,2,2,0.7279145732834937,90.8203125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
95,2,2,0.7236741977529049,61.42578125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
96,2,2,0.8099354311188371,89.74609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
96,5,5,0.8099354311188371,89.74609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
97,2,2,0.8165799443685499,99.951171875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
97,5,5,0.8165799443685499,99.951171875,COMPLETE_FIVE_FOLDS,promotion_completed,0
98,2,2,0.8229474618578649,83.642578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
98,5,5,0.8229474618578649,83.642578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
99,2,2,0.8266440045151884,84.716796875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
99,5,5,0.8266440045151884,84.716796875,COMPLETE_FIVE_FOLDS,promotion_completed,0
100,2,2,0.8166886596401032,71.630859375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
100,5,5,0.8166886596401032,71.630859375,COMPLETE_FIVE_FOLDS,promotion_completed,0
101,2,2,0.8184490212182887,76.7578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
101,5,5,0.8184490212182887,76.7578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
102,2,2,0.807671635026125,85.15625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
102,5,5,0.807671635026125,85.15625,COMPLETE_FIVE_FOLDS,promotion_completed,0
103,2,2,0.8170447646537288,86.62109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
103,5,5,0.8170447646537288,86.62109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
