candidate,trial_number,physics_level,physics_admissible,S_pred,R2_min,R2_median,R2_mean,R2_std,R2_IQR,RMSE_mean,MAE_mean,bias_abs_mean,PCD_min,PCD_min_25,PCD_median,best_epoch_median,parameter_count,training_time_s,runs,seeds,training_strategy
TRIAL_0037_TIT_INC,37,A,True,0.7451719734876978,0.7085676142937253,0.8144650282229025,0.806942837897647,0.050023873451728124,0.02876665671646006,4.642009462747587,3.1137758167129936,0.6548097331186092,99.8046875,99.8046875,100.0,100.0,69187,9664.578872099995,15,"[21,42,84]",FO_ONLY
TRIAL_0115_TIT_INC,115,A,True,0.7377907047499009,0.6900702532792716,0.8285634356800388,0.810530937109702,0.058735716326439306,0.01680144739223799,4.58313916970903,3.0143666299244254,0.588962685326366,99.853515625,99.853515625,100.0,195.0,22867,6577.798775300005,15,"[21,42,84]",FO_ONLY
TRIAL_0085_TIT_INC,85,A,True,0.7351831936256816,0.6921314384495754,0.8168304697771289,0.8005184239028406,0.05196652767486209,0.03277365345522343,4.718385218903114,3.2091827635583905,0.5096943640919925,100.0,100.0,100.0,45.0,76291,1820.2945839000022,15,"[21,42,84]",FO_ONLY
TRIAL_0084_TIT_INC,84,B,True,0.7124505993315432,0.6547706392793223,0.8172980681193306,0.7998015730847011,0.055813619803194166,0.02904758507185856,4.724807536976585,3.1976433800129276,0.5771559507193625,97.8515625,97.8515625,99.51171875,140.0,60993,1762.8569286000056,15,"[21,42,84]",FO_ONLY
TRIAL_0016_TIT_INC,16,C,False,0.7344705267532757,0.6854933534484368,0.8274369870395633,0.809004312999799,0.059570127276351734,0.011910710544002279,4.6019800884710325,3.0511985133194623,0.5945413829467505,94.775390625,94.775390625,98.388671875,140.0,77251,14899.570238999997,15,"[21,42,84]",FO_ONLY
