rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_tit_pcd_min,active_tit_pcd_mean,parameter_count,training_time_s,config_hash
75,55,TRIAL_0055_TIT_INC,0.6980780008239232,C,False,0.6534333599058748,0.7851869429222406,0.7713823902129144,0.06676337017565252,5.034142851755753,3.3240326036629093,0.9592463117664496,89.599609375,94.560546875,10369,1496.5637798999999,c5cad28e5cc8677f0ba2b60d24f494b6e51e51e107a44ce477bf95779bfbedd6
76,11,TRIAL_0011_TIT_INC,0.6618596181889665,C,False,0.6272837424315028,0.7323586442471605,0.710394087310559,0.052576292751390155,5.707262053082661,3.8931981138051936,0.5205479338988405,92.138671875,93.046875,138401,974.3195789999882,32e992df2e437100bfae4fc4b94a5267d3c39b35b7656a74542cf2045c8ff31b
77,15,TRIAL_0015_TIT_INC,0.5946275994878247,C,False,0.5559275993943644,0.6791797601576394,0.6507299392978789,0.07755882125873596,6.254158732598195,4.3505143691094785,1.0073050177583946,85.107421875,91.279296875,71619,288.1485462000128,b4954eed13db9d98b2a109ed6c26be3b1570d2a3d3609654a91b6dc76447d6f8
78,29,TRIAL_0029_TIT_INC,0.4683991253401542,C,False,0.4402360206443279,0.5302060099660791,0.51652819340307,0.06457109376573306,7.385441594563284,5.248334875606771,0.6164962648396107,66.552734375,74.580078125,18657,2037.6628041999793,fbb0e46e546ce0b362974c0a78ddaa4d50c1c4d7302bca7306b8322e4438061e
79,17,TRIAL_0017_TIT_INC,0.02284453075893894,C,False,-0.09896110503106792,0.27174775636371507,0.20085160846523595,0.19388293978058413,9.468698232510377,7.4572668331460745,5.379671150994616,90.52734375,92.744140625,29571,754.1246820999804,8873fa44a948a0e996f1d8aa720c7b15ad9e4e6fe0210a479c059325f9a04296
80,4,TRIAL_0004_TIT_INC,-0.011327277051995432,C,False,-0.12066521922472462,0.2125448527120687,0.15546377241242196,0.1823797857202346,9.747887494120416,7.78258532110128,5.250708068280368,70.166015625,76.259765625,39425,102.22026149999874,91fb8dc50a9e82a95b8b6f929789951af1cf8f2cb6f6c3b51782edb7ba774693
81,9,TRIAL_0009_TIT_INC,-0.011333116130017697,C,False,-0.12067721500292783,0.2125479106530953,0.15547096064893012,0.18238256389082605,9.74784418466273,7.7825132533077355,5.251096256353698,70.166015625,76.26953125,39425,114.12001410000084,306685c5babb129e22c9d515759781afd79d5a5970028dc46f8cfcdf0fa8f64a
82,23,TRIAL_0023_TIT_INC,-0.06888722223892978,C,False,-0.1128539719548356,0.01749274587884231,0.01903311211658838,0.08325974041339952,10.550835812072853,8.024969012375312,1.8600545731648679,48.095703125,50.83984375,59665,400.62920139999187,ab61e03ed6b41e4f98718ac17a71c4fb69ba5534c2fe9b7c3a8d9e207e2f0e1b
83,19,TRIAL_0019_TIT_INC,-0.10676688287725145,C,False,-0.13817315295556076,-0.046205439175518004,-0.03923643987917447,0.0607771536334214,10.855449221556466,8.298557413989283,1.7736725718838613,46.09375,49.794921875,49763,974.9337060000253,899fee8a80d155fc122dec964aa563f59cbcb912f26fb58e390bc58a19789694
84,24,TRIAL_0024_TIT_INC,-0.13537071774685813,C,False,-0.19355011500822594,-0.014340583863005074,-0.07178905381000052,0.07759568202021011,11.0244037649981,8.674265741700019,2.355444952098703,47.94921875,49.39453125,20449,85.31406119999883,12fb76ce0e75e6802f47dc56ff9c0ff01ab495524b3c18183434430b22b53c5b
85,28,TRIAL_0028_TIT_INC,-0.14734081867996596,C,False,-0.26159791185328296,0.08623709841491434,-0.00947773970254102,0.15305427122216356,10.679762199857283,8.587796940970627,3.7876891358688525,65.478515625,69.189453125,48643,240.06259119999595,2a26542deaf52ee7b5d1efdb80914430638710724f7c9c71b3b8fb3738276df3
86,8,TRIAL_0008_TIT_INC,-0.1946178561525141,C,False,-0.28915455398628587,-0.0007819181637280792,-0.0910550719174367,0.11785041119880497,11.114520268275504,8.796950852392829,2.0549134715933266,47.75390625,49.677734375,65395,259.6656304000062,b26b0cffe915d93ac21a00db5cb3e4bad0b5983082991b2ce17ebe6595ac5372
87,3,TRIAL_0003_TIT_INC,-0.19472795619759137,C,False,-0.28932756795356074,-0.0007743759161664698,-0.09108412586222929,0.11790690064382059,11.114653551432019,8.797070376480413,2.0555816798485393,47.75390625,49.677734375,65395,215.0216839999921,fee895d4e2452a254693c9b19d07438e90748b5e0712516e482ffddc36e1d36e
