schema_version,campaign_contract_sha256,status,candidate,trial_number,config_hash,strategy,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_tit_mean,g_star_tit_median,g_star_tit_q05,g_star_tit_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_tit_delta_x,physical_scale_nox_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,0,21,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,16280,1257.9585133,0.1456313133239746,0.150390625,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.8239960256742929,4.455227624547233,2.871560279339079,0.0576900249379802,0.4194762478929652,1.285300028702569,4.2663299569234585,0.9165308472808388,0.8741296168101688,8.983835448342584,0.0,0.1650725901126861,0.0009429977508261,7267.7392578125,98.583984375,1.416015625,0.0,0.7699624300003052,0.6294169425964355,0.2062719613313675,1.7978121042251587,1.1360461711883545,0.928677260875702,0.3043453097343445,2.65259337425232,85.3515625,14.6484375,0.0,-2.756740093231201,TIT_INC,200,77251,1257.9580083,64,64,800,80,80,260,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,768,750,97.65625,TIT,1.4710406161479248,20,0.99,1.4710406161479248
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,1,21,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,6072,904.2751207999972,0.135988712310791,0.15234375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.8324152936996944,4.155487676285349,2.9944573681370743,0.0548072791095275,0.4092840753062933,-0.8632593057593521,4.065696645459475,0.9163882007854116,0.8497974657637489,9.124254425344397,0.0,0.1274726539850235,0.0027142197359353,56.4621696472168,99.0234375,0.9765625,0.0,0.7874084115028381,0.6210708022117615,0.2026369869709015,1.926367163658142,1.1392457485198977,0.8985836505889893,0.2931811809539795,2.7871248722076416,84.27734375,15.72265625,0.0,-3.947108268737793,TIT_INC,115,77251,904.2745739999992,64,64,800,80,80,175,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,768,745,97.00520833333331,TIT,1.4510427975077411,20,0.99,1.4510427975077411
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,2,21,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,13876,1010.0226880000008,0.1389679908752441,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.867291005713714,3.912639370396899,2.6896374486073724,0.0469580595319006,0.3642286748069021,0.3251189891697645,3.899790961708791,0.9318566423730236,0.8797498677706195,7.7315528811638226,0.0,0.1266486644744873,0.0019601418171077,277.6880798339844,98.388671875,1.611328125,0.0,0.8049257397651672,0.6533374786376953,0.2278458476066589,2.065577268600464,1.1868690252304075,0.9633509516716005,0.3359604179859161,3.0457091331481934,84.521484375,15.478515625,0.0,-3.984785556793213,TIT_INC,140,77251,1010.022187999999,64,64,800,80,80,200,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.622398376464815,768,751,97.78645833333331,TIT,1.4524626095825597,20,0.99,1.4524626095825597
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,3,21,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,6072,813.0457293,0.1416587829589843,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.8206269338253565,4.783791375965162,3.2325773202445105,0.0519215419227088,0.423461900900935,0.0511708063428731,4.784225676144947,0.906194396333338,0.8001141230636457,12.856996285414706,0.0,0.1810394525527954,7.506689144065604e-05,-7.482660293579102,99.51171875,0.48828125,0.0,0.9296956062316896,0.6764681339263916,0.2476343810558319,2.6107423305511475,1.3868865966796875,1.0091309547424316,0.3694121241569519,3.894611835479736,83.837890625,16.162109375,0.0,-3.9435110092163086,TIT_INC,130,77251,813.0451734999988,64,64,800,80,80,190,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.19874954223633,768,747,97.265625,TIT,1.4666428059277477,20,0.99,1.4666428059277477
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,4,21,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,13876,540.2814558999999,0.1389336585998535,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.7118466598567932,5.620352731895829,3.682430082354052,0.0750481037710743,0.5367027452773745,-0.5174479744900232,5.597487533446101,0.8506923928764611,0.8061043889931925,12.27368481123976,0.0,0.2140813618898391,0.042607232928276,10.161431312561035,97.998046875,2.001953125,0.0,1.2216334342956543,1.0811821222305298,0.3684800565242767,2.855794668197632,1.7873163223266602,1.5818283557891846,0.5391063690185547,4.178183078765869,85.64453125,14.35546875,0.0,-5.534895896911621,TIT_INC,65,77251,540.2809877,64,64,800,80,80,125,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,36.70400238037109,768,761,99.08854166666669,TIT,1.460840509680585,20,0.99,1.460840509680585
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,13876,1366.225136000001,0.1456317901611328,0.150390625,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.829532980382192,4.384588540646111,2.832662662816426,0.0567753308178866,0.4128253154678345,1.1573784720330011,4.229601474169976,0.9185897161892272,0.8887744069084575,7.960203300923217,0.0,0.1576352417469024,0.0081372186541557,278814.6875,95.8984375,4.1015625,0.0,0.727075457572937,0.5933176279067993,0.0592203065752983,1.728855013847351,1.0727680921554563,0.875414252281189,0.087376981973648,2.5508503913879395,86.767578125,13.232421875,0.0,-2.526169776916504,TIT_INC,220,77251,1366.2243935000006,64,64,800,80,80,280,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,768,755,98.30729166666669,TIT,1.4710406161479248,20,0.99,1.4710406161479248
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,6072,754.1743122000007,0.135988712310791,0.15234375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.8310413626356812,4.172487137406496,3.0349288895016624,0.0550314872610028,0.410958393525399,-0.5823982848602087,4.132520064788016,0.913820380352525,0.8598345253564503,8.737714786116673,0.0,0.1283752471208572,0.0002793587045744,-8.137560844421387,99.4140625,0.5859375,0.0,0.8598687648773193,0.704750120639801,0.1952012479305267,2.305239677429199,1.2440835237503052,1.0196533203125,0.2824229300022125,3.3352887630462646,92.67578125,7.32421875,0.0,-4.316411972045898,TIT_INC,85,77251,754.1737489999978,64,64,800,80,80,145,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,768,749,97.52604166666669,TIT,1.4510427975077411,20,0.99,1.4510427975077411
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,8600,1049.3596503000008,0.1389684677124023,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.871746620381645,3.8463964990933657,2.6628655893128124,0.046163036939793,0.3580621077031614,0.1174760185369924,3.845275365187344,0.9343634299418712,0.9049782741666836,5.970044474305312,0.0,0.1221011951565742,0.0002173265966121,56.244720458984375,99.462890625,0.537109375,0.0,0.8154875040054321,0.6972607374191284,0.2148982733488083,2.015576124191284,1.2024424076080322,1.028116226196289,0.3168691098690033,2.971982002258301,83.837890625,16.162109375,0.0,-4.024971008300781,TIT_INC,150,77251,1049.3591321000022,64,64,800,80,80,210,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.622398376464815,768,755,98.30729166666669,TIT,1.4524626095825597,20,0.99,1.4524626095825597
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,6072,905.0942247999992,0.1416592597961425,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.8190083014220144,4.805326966389623,3.242406878396582,0.0521552814345679,0.4253682344638876,0.2490435891265733,4.799579349792976,0.9063716941985668,0.780821692699317,14.290851820453636,0.0,0.1814692169427871,0.0033273831941187,364.9721984863281,98.681640625,1.318359375,0.0,0.8728842735290527,0.6100343465805054,0.1869091987609863,2.783060312271118,1.3021373748779297,0.9100273847579956,0.2788244485855102,4.151669502258301,78.564453125,21.435546875,0.0,-2.98067569732666,TIT_INC,140,77251,905.0937716000008,64,64,800,80,80,200,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.19874954223633,768,755,98.30729166666669,TIT,1.4666428059277477,20,0.99,1.4666428059277477
R6_FOLD_RESULT_V1,b4735a9b27d7395e306d2d733bd202b4becbeea8ab9af5a9887ad7cd2abed4ea,COMPLETE,TRIAL_0016_TIT_INC,16,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c,FO_ONLY,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,8600,560.9535974999999,0.1389331817626953,0.1484375,513542e17ddbca8b50109dcb24ce4faf75c9dfec77ac6fad24bc5d7e0de097a3,True,True,True,1,0.6854933534484368,5.871737846717198,3.640764668070037,0.0784048283546671,0.5607081925655533,-0.6841104537591167,5.832796807766339,0.8339141195554461,0.7580961539714981,15.27408581413197,0.0,0.2394744604825973,0.0115888258442282,0.2530646324157715,98.388671875,1.611328125,0.0,1.150484919548035,0.8365863561630249,0.2169328033924102,3.078465461730957,1.6832220554351809,1.2239713668823242,0.3173845112323761,4.50396203994751,87.109375,12.890625,0.0,-4.809035301208496,TIT_INC,70,77251,560.9530863,64,64,800,80,80,130,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,36.70400238037109,768,743,96.74479166666669,TIT,1.460840509680585,20,0.99,1.460840509680585
