metric,mean,median,std,min,max,pinn_improves_pct,effect_class,escalation_triggered,escalation_reasons,seeds_executed
delta_R2,-0.00014187045061600696,-0.0025325892750990286,0.014118301037104503,-0.018114479515170312,0.03624380082153422,20.0,UNFAVORABLE,False,[],"[21,42,84]"
delta_RMSE,0.014868791177772393,0.031572045898630385,0.14847112777517077,-0.35275524788383894,0.22376907216383568,20.0,UNFAVORABLE,False,[],"[21,42,84]"
delta_MAE,0.0199090316459956,0.037028164422813425,0.12964338636673614,-0.25398218220677826,0.23394892140040335,40.0,UNFAVORABLE,False,[],"[21,42,84]"
delta_bias_abs,0.07471535304927553,0.059687110031543145,0.22980189092612938,-0.4376636250265713,0.5289461726234073,26.666666666666668,UNFAVORABLE,False,[],"[21,42,84]"
delta_training_time,435.94317602666683,438.3324400000019,106.54118569315271,265.74084880000373,607.5269745000041,0.0,UNFAVORABLE,False,[],"[21,42,84]"
delta_PCD,21.116536458333332,20.458984375,4.261769813457121,13.76953125,28.22265625,100.0,UNFAVORABLE,False,[],"[21,42,84]"
