seed,epoch,loss_data,loss_physics,loss_total,physics_warmup,learning_rate
21,1,0.40752924541416374,0.0008091605009885035,0.4083578717449437,0.3333333333333333,0.005147653199564829
21,2,0.35900787416359653,0.0004985087076657573,0.36002887970079545,0.6666666666666666,0.00510539285117684
21,3,0.31955247388585756,0.00032075318332792214,0.32053788301089536,1.0,0.005035473584903477
21,4,0.31196853680455167,0.00026698018171017517,0.3127887478017289,1.0,0.004938661450857576
21,5,0.3092060549751572,0.00011294681667491007,0.3095530482413976,1.0,0.0048160171430389875
21,6,0.3074970229488352,0.0001472379006115617,0.3079493639909703,1.0,0.004668884378149142
21,7,0.28548257694296214,0.00011709914912463991,0.2858423261862734,1.0,0.004498875173549684
21,8,0.2935608988546807,0.00011599424936459558,0.29391725549231407,1.0,0.004307852185662917
21,9,0.2856151643006698,0.0001820586743954901,0.2861744803578957,1.0,0.00409790830231826
21,10,0.2897964522890423,0.0001497653925960786,0.29025655829388164,1.0,0.0038713437126352184
21,11,0.2980196811258793,0.00017226504369516435,0.29854891037811404,1.0,0.003630640705670049
21,12,0.2707335673920486,0.00011206936087151205,0.27107786448753396,1.0,0.003378436473937403
21,13,0.2704942604769831,0.00012019102049358163,0.27086350830352823,1.0,0.0031174942197772725
21,14,0.26120845063225084,0.00010194355290482434,0.2615216404847477,1.0,0.0028506728811319142
21,15,0.25478175940073056,0.0001983374716414603,0.25539108786893927,1.0,0.0025808958084234802
21,16,0.2480268336508585,0.00010915321403365891,0.24836217129360075,1.0,0.0023111187357150453
21,17,0.2385019273861595,0.00011844187813197925,0.23886580255044543,1.0,0.0020442973970696858
21,18,0.23881566126061524,0.00013074749656326554,0.2392173413997111,1.0,0.0017833551429095559
21,19,0.21999677756558295,8.315218011652495e-05,0.2202522358816603,1.0,0.00153115091117691
21,20,0.21609562039375305,0.000129682286372016,0.21649402767095877,1.0,0.0012904479042117403
21,21,0.21681153366099234,8.98390618678367e-05,0.21708753500943598,1.0,0.0010638833145286985
21,22,0.2113199840583231,0.00011095383845753057,0.21166085417827835,1.0,0.000853939431184042
21,23,0.19609282115555327,6.635106214082992e-05,0.19629666322599287,1.0,0.0006629164432972749
21,24,0.19784298924648244,0.00010646509148816973,0.19817006864949413,1.0,0.0004929072386978163
21,25,0.1926476282917935,5.820832549706329e-05,0.1928264547139406,1.0,0.00034577447380797037
21,26,0.1865473916673142,4.1548416538716994e-05,0.18667503588873408,1.0,0.00022313016598938135
21,27,0.18118422862304293,4.1677121043903756e-05,0.18131226850268634,1.0,0.00012631803194348114
21,28,0.18425190879598907,4.252289853985017e-05,0.18438254661210204,1.0,5.6398765670117225e-05
21,29,0.1813442051248706,5.083755654398018e-05,0.18150038706219715,1.0,1.413841728212843e-05
21,30,0.17820701351308305,4.135507994721158e-05,0.17833406359929105,1.0,0.0
42,1,0.41237833963140197,0.0006357122748370429,0.41302934606438096,0.3333333333333333,0.005147653199564829
42,2,0.3527834971313891,0.00021960717087653314,0.3532332797413287,0.6666666666666666,0.00510539285117684
42,3,0.3326535546261331,0.00019906341288768327,0.3332651145108368,1.0,0.005035473584903477
42,4,0.3186504672726859,0.00016516097448797867,0.31915787202508555,1.0,0.004938661450857576
42,5,0.30110329379853995,0.00013724657223381496,0.301524939711975,1.0,0.0048160171430389875
42,6,0.3045805601646071,0.0001654059940313385,0.3050887166481951,1.0,0.004668884378149142
42,7,0.29064298498889674,0.0001086371782884785,0.2909767377635707,1.0,0.004498875173549684
42,8,0.3102841482538244,0.00016363735183048172,0.31078687167685964,1.0,0.004307852185662917
42,9,0.2941572636041952,0.00013422460414126954,0.29456962499281636,1.0,0.00409790830231826
42,10,0.2830763034198595,0.00010326379390236348,0.2833935484290123,1.0,0.0038713437126352184
42,11,0.2818083830177784,0.00010485673918320453,0.2821305209851783,1.0,0.003630640705670049
42,12,0.27130017811837404,8.978473257308866e-05,0.27157601296253825,1.0,0.003378436473937403
42,13,0.2529722520838613,0.00010943322498386134,0.25330845101372057,1.0,0.0031174942197772725
42,14,0.2596884831462217,7.421257024243064e-05,0.25991647790955463,1.0,0.0028506728811319142
42,15,0.2529417230707148,8.372842788483704e-05,0.25319895138559134,1.0,0.0025808958084234802
42,16,0.24148690180610055,6.180119996671514e-05,0.24167676674930946,1.0,0.0023111187357150453
42,17,0.23649847402196864,7.591112068795433e-05,0.2367316873015269,1.0,0.0020442973970696858
42,18,0.2428254349400168,9.723322282297885e-05,0.24312415288194367,1.0,0.0017833551429095559
42,19,0.22440965468792812,6.047910322630069e-05,0.2245954573640357,1.0,0.00153115091117691
42,20,0.2261942358120628,8.977245380937466e-05,0.22647003306318883,1.0,0.0012904479042117403
42,21,0.21776044692682184,6.394732044218867e-05,0.2179569051641485,1.0,0.0010638833145286985
42,22,0.20989194888135662,5.1769350450384714e-05,0.21005099388244358,1.0,0.000853939431184042
42,23,0.20166147498656875,4.429189265979601e-05,0.20179754868149757,1.0,0.0006629164432972749
42,24,0.1953891141097183,5.558388365502849e-05,0.1955598782909953,1.0,0.0004929072386978163
42,25,0.19028532816016155,4.536614836900338e-05,0.19042470157146454,1.0,0.00034577447380797037
42,26,0.19194189525492814,4.6776557863505215e-05,0.19208560085490994,1.0,0.00022313016598938135
42,27,0.18767116461759029,4.510818492670533e-05,0.18780974447727203,1.0,0.00012631803194348114
42,28,0.17594112677742604,4.066451058109954e-05,0.17606605503546155,1.0,5.6398765670117225e-05
42,29,0.17680767813454504,4.4314576608366736e-05,0.17694381977552953,1.0,1.413841728212843e-05
42,30,0.1785647909116486,4.715491259444009e-05,0.17870965962824614,1.0,0.0
63,1,0.4198450504761675,0.0007570041234549021,0.4206202668664248,0.3333333333333333,0.005147653199564829
63,2,0.348909896482592,0.00021068499895393513,0.3493414050211077,0.6666666666666666,0.00510539285117684
63,3,0.3259084296615227,0.00026485479130048154,0.3267221111966216,1.0,0.005035473584903477
63,4,0.32874933319247285,0.0003198756150575956,0.3297320475720841,1.0,0.004938661450857576
63,5,0.30772812810281047,0.00016745130707496845,0.30824256840607395,1.0,0.0048160171430389875
63,6,0.30676839931503586,0.00017185539320606672,0.3072963696783004,1.0,0.004668884378149142
63,7,0.30059017202128535,0.0005590701000385153,0.30230773340748707,1.0,0.004498875173549684
63,8,0.29813233273832696,0.00014615008453999865,0.29858133349081745,1.0,0.004307852185662917
63,9,0.2887526247812354,0.00010337101913414106,0.2890701984905678,1.0,0.00409790830231826
63,10,0.2747036835097748,0.00010083104580585116,0.27501345412886663,1.0,0.0038713437126352184
63,11,0.27569759815283446,0.00010912652691252373,0.2760328536124333,1.0,0.003630640705670049
63,12,0.2675733157798,9.694460791845062e-05,0.26787114715122656,1.0,0.003378436473937403
63,13,0.2620907564526019,0.00011347069276266468,0.2624393577808919,1.0,0.0031174942197772725
63,14,0.2521858179050943,0.00010008427931572204,0.25249329447422336,1.0,0.0028506728811319142
63,15,0.25557642488375953,8.423536213266071e-05,0.25583521043476853,1.0,0.0025808958084234802
63,16,0.2483315756463486,0.00012902676441982572,0.24872796908020972,1.0,0.0023111187357150453
63,17,0.23839865033717259,6.674768242389648e-05,0.23860371014022308,1.0,0.0020442973970696858
63,18,0.23662946689064088,8.959437677533613e-05,0.23690471597339796,1.0,0.0017833551429095559
63,19,0.22647870341720788,8.810606341878314e-05,0.22674938150398108,1.0,0.00153115091117691
63,20,0.22581968631433405,9.276165473554852e-05,0.22610466660040876,1.0,0.0012904479042117403
63,21,0.22043082503520925,6.52004720865554e-05,0.22063113240444143,1.0,0.0010638833145286985
63,22,0.20813313123324642,8.177543487244807e-05,0.20838436009767264,1.0,0.000853939431184042
63,23,0.2123958510387203,6.387848760546742e-05,0.21259209651338018,1.0,0.0006629164432972749
63,24,0.20061077694206134,9.734210580854383e-05,0.20090982790874398,1.0,0.0004929072386978163
63,25,0.19457870278021563,4.991584794523711e-05,0.19473205361029375,1.0,0.00034577447380797037
63,26,0.18506183702012766,5.6784372847450075e-05,0.1852362881536069,1.0,0.00022313016598938135
63,27,0.18953369627504246,3.682384424040641e-05,0.1896468260689922,1.0,0.00012631803194348114
63,28,0.18202832009157408,4.7662384009606244e-05,0.18217474742104178,1.0,5.6398765670117225e-05
63,29,0.18031873649553112,5.1039257762212125e-05,0.18047553843454175,1.0,1.413841728212843e-05
63,30,0.17978686181747394,4.380388821553662e-05,0.17992143512743972,1.0,0.0
84,1,0.4060414083302021,0.0005932431302861243,0.4066489237158195,0.3333333333333333,0.005147653199564829
84,2,0.34193718880414964,0.00023633150670755878,0.3424212251020514,0.6666666666666666,0.00510539285117684
84,3,0.32932582973786023,0.00017469519543342557,0.3298625246662161,1.0,0.005035473584903477
84,4,0.3328988357730534,0.00016249376743001883,0.33339804618254953,1.0,0.004938661450857576
84,5,0.30070771024278975,0.0001218295445576824,0.3010819927505825,1.0,0.0048160171430389875
84,6,0.30627962146764215,0.00011290602544408024,0.30662648979088536,1.0,0.004668884378149142
84,7,0.3178047405636829,0.00021455522024038857,0.3184638913882815,1.0,0.004498875173549684
84,8,0.3353831437942774,0.00021970372827126994,0.33605811161839444,1.0,0.004307852185662917
84,9,0.2919436695459096,0.00014980742718525227,0.29240390515845754,1.0,0.00409790830231826
84,10,0.29020092338323594,0.00010274623554046823,0.2905165793131227,1.0,0.0038713437126352184
84,11,0.2790897832940454,0.00012557215864628392,0.2794755631814832,1.0,0.003630640705670049
84,12,0.2791495439151059,0.0001255061935017179,0.2795351226044738,1.0,0.003378436473937403
84,13,0.270153918263057,0.0001365624464854235,0.27057346269164395,1.0,0.0031174942197772725
84,14,0.25522573276058486,0.00012195810382447393,0.25560040909634985,1.0,0.0028506728811319142
84,15,0.24640347913879415,0.00010854299366853766,0.24673694281474404,1.0,0.0025808958084234802
84,16,0.24778382501200488,0.00011390321719575339,0.24813375560485798,1.0,0.0023111187357150453
84,17,0.23891700425225756,7.761133533874627e-05,0.23915544056698032,1.0,0.0020442973970696858
84,18,0.22850744957509248,0.00012796616586495908,0.22890058404401592,1.0,0.0017833551429095559
84,19,0.22501077017058496,9.00338769457923e-05,0.22528737035134563,1.0,0.00153115091117691
84,20,0.21661224154674488,9.010680861810334e-05,0.21688906537449879,1.0,0.0012904479042117403
84,21,0.21273177680761918,0.00010508228460426124,0.21305460827830044,1.0,0.0010638833145286985
84,22,0.20702987060598704,6.735208039374455e-05,0.20723678838947546,1.0,0.000853939431184042
84,23,0.19983398987223272,8.1653185260739e-05,0.20008484295204929,1.0,0.0006629164432972749
84,24,0.1890368918199902,6.95536301305844e-05,0.1892505728194247,1.0,0.0004929072386978163
84,25,0.19143773101918074,7.902380689104219e-05,0.19168050614712032,1.0,0.00034577447380797037
84,26,0.1871167051727357,8.181515270774505e-05,0.18736805616189603,1.0,0.00022313016598938135
84,27,0.18423275400115097,4.14922333695121e-05,0.1843602258550084,1.0,0.00012631803194348114
84,28,0.1804112405070792,3.559576811233495e-05,0.180520596889698,1.0,5.6398765670117225e-05
84,29,0.17925912169334682,5.1363866006558175e-05,0.1794169207467981,1.0,1.413841728212843e-05
84,30,0.1763025328193022,4.331308752981662e-05,0.1764355975324693,1.0,0.0
105,1,0.4076213063429231,0.0006772551047027303,0.40831485445732657,0.3333333333333333,0.005147653199564829
105,2,0.3609358276685943,0.0003285812163401557,0.3616088004215904,0.6666666666666666,0.00510539285117684
105,3,0.32670960672523663,0.00015953264796537595,0.327199719392735,1.0,0.005035473584903477
