epoch,loss_data,loss_physics,loss_total,physics_warmup,learning_rate
1,0.5197172442199842,0.00118022965249059,0.48215513906144486,0.1,0.0002400903032956889
2,0.3593197791045432,1.851165876404821e-08,0.20726767833278828,0.2,0.0002400903032956889
3,0.3225031646977655,7.06579022829537e-07,0.0279372379630485,0.3,0.0002400903032956889
4,0.3020119299310433,5.078193798104042e-06,-0.16024766059899484,0.4,0.0002400903032956889
5,0.2943239340945536,1.3378738947010893e-06,-0.35502626624046096,0.5,0.0002400903032956889
6,0.2849416145675953,9.801350401121493e-07,-0.5765313859031849,0.6,0.0002400903032956889
7,0.281094805586772,2.9004713211862846e-06,-0.810335259429903,0.7,0.0002400903032956889
8,0.2747801157787474,7.543211183218241e-07,-1.0709160086429603,0.8,0.0002400903032956889
9,0.2724926247235539,2.4664993612986047e-06,-1.343090553610432,0.9,0.0002400903032956889
10,0.26821251369901083,1.2623284693501555e-05,-1.6401711144590276,1.0,0.0002400903032956889
11,0.2664648434047525,1.4655284027998586e-05,-1.7945937233512355,1.0,0.0002400903032956889
12,0.2644198850052515,2.4553465870908552e-05,-1.9368566366538758,1.0,0.0002400903032956889
13,0.2576777702416802,2.0638453984964318e-05,-2.086248336946173,1.0,0.0002400903032956889
14,0.25513428199150834,1.9853940411323606e-05,-2.217071125798358,1.0,0.0002400903032956889
15,0.25331789248760556,2.8143756238814237e-05,-2.3412403366039856,1.0,0.0002400903032956889
16,0.2507314487845025,2.1484896884242224e-05,-2.465653202518406,1.0,0.0002400903032956889
17,0.2478063354783191,3.2197944110371496e-05,-2.5898636451880477,1.0,0.0002400903032956889
18,0.24461131041961257,5.295793592848821e-05,-2.714476337014225,1.0,0.0002400903032956889
19,0.24214690886996287,4.730415490693237e-05,-2.835619736789891,1.0,0.0002400903032956889
20,0.24249902530324025,7.197132315661255e-05,-2.944625471082438,1.0,0.0002400903032956889
21,0.23855999080220944,7.68647508527839e-05,-3.0705958369967767,1.0,0.0002400903032956889
22,0.23591456102801595,9.496782552390229e-05,-3.1910679988738555,1.0,0.0002400903032956889
23,0.23501098621836056,8.023467680947323e-05,-3.305395208538472,1.0,0.0002400903032956889
24,0.23397711488942774,7.052876505282242e-05,-3.4195020076294274,1.0,0.0002400903032956889
25,0.2297887083868909,7.365624579326985e-05,-3.5468168723251376,1.0,0.0002400903032956889
26,0.2290214406250631,6.240157538978667e-05,-3.6591518297951025,1.0,0.0002400903032956889
27,0.22816259798452226,5.327843846602716e-05,-3.771787170169185,1.0,0.0002400903032956889
28,0.22633833813877893,5.66265638228673e-05,-3.889022552992598,1.0,0.0002400903032956889
29,0.22586656610702804,5.739541229251312e-05,-4.000078801679917,1.0,0.0002400903032956889
30,0.2244240072031348,3.544066019805125e-05,-4.11680700539011,1.0,0.0002400903032956889
31,0.22283925430358606,4.307334415971566e-05,-4.232956257315723,1.0,0.0002400903032956889
32,0.21833561716613217,4.337491521221451e-05,-4.363055665181586,1.0,0.0002400903032956889
33,0.22043591953128003,4.368559687766953e-05,-4.4613526449468965,1.0,0.0002400903032956889
34,0.21851433727419606,3.2474486235837416e-05,-4.579244555957312,1.0,0.0002400903032956889
35,0.21645933999111616,3.688518958106801e-05,-4.697949524865161,1.0,0.0002400903032956889
36,0.21675167073210505,4.4252737562724474e-05,-4.803601910776959,1.0,0.0002400903032956889
37,0.2141076958951654,2.5372703535825907e-05,-4.925154940219201,1.0,0.0002400903032956889
38,0.21338244299434236,2.7399404706742263e-05,-5.0362004396491695,1.0,0.0002400903032956889
39,0.21276289380975147,2.4738496831352053e-05,-5.146135441496234,1.0,0.0002400903032956889
40,0.2124213495429374,2.9427010351542155e-05,-5.253930487520434,1.0,0.0002400903032956889
41,0.2086959756926755,3.22557930335618e-05,-5.3780431783173785,1.0,0.0002400903032956889
42,0.20857584589745298,2.2014948078610278e-05,-5.487112431761029,1.0,0.0002400903032956889
