model_family,device,parameter_count,parameter_bytes_float32,state_dict_bytes,checkpoint_bytes,latency_batch1_median_ms,latency_batch1_p95_ms,throughput_rows_s,benchmark_rows,latency_repetitions,throughput_repetitions
DENSE_PINN,cuda,69187,276748,281401,286885,0.4948999994667247,0.5174099997020676,8299954.745763718,4096,200,30
TT_PINN,cuda,13891,55564,66045,74829,1.750499999616295,3.6847400006081408,1091496.3128249492,4096,200,30
