metric,dense,tt,tt_minus_dense
R2,0.7748021023445689,0.7685886952250564,-0.006213407119512571
RMSE,4.449680856256315,4.510648475061918,0.060967618805602974
MAE,3.034638218763398,3.0611336998269394,0.026495481063541604
bias,0.7416671261139448,0.3552179519307738,-0.386449174183171
pearson_r,0.8839968734316708,0.877512989924361,-0.006483883507309773
PCD_pct,100.0,100.0,0.0
