split,role,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,NRMSE_mean_pct
DEV,TRAINING_DIAGNOSTIC,0.7727752189067665,1.1324808683105698,0.5111162148243419,0.025678316723544474,0.4766730195820495,-0.11585470036769327,1.126558089775186,0.881545767262965,0.7379990950815725,0.5217009062156341,0.0,46.53884471687587
TEST,FINAL_HOLDOUT,0.5222426348684107,1.1483571412682714,0.6001136108819702,0.04519145783169148,0.6911497698084126,-0.26652373047599637,1.117081192594041,0.7402910719003412,0.5426325809548488,0.6977961952449316,0.0,54.4654501834103
