CDP,predicted_CO_mg_m3
10.369,2.7653818
10.399588235294118,2.754483
10.430176470588234,2.745424
10.460764705882353,2.7337492
10.491352941176471,2.7255504
10.521941176470587,2.7145288
10.552529411764706,2.7068508
10.583117647058824,2.6957407
10.61370588235294,2.6870453
10.644294117647059,2.6772368
10.674882352941177,2.666844
10.705470588235293,2.6588533
10.736058823529412,2.6493793
10.76664705882353,2.6385365
10.797235294117646,2.6303334
10.827823529411765,2.6206136
10.858411764705883,2.611024
10.889,2.6020846
10.919588235294118,2.5925238
10.950176470588236,2.5829546
10.980764705882352,2.5748043
11.01135294117647,2.5708241
11.041941176470589,2.558575
11.072529411764705,2.550814
11.103117647058824,2.5394385
11.133705882352942,2.5327525
11.164294117647058,2.5230756
11.194882352941177,2.5110261
11.225470588235295,2.5032794
11.256058823529411,2.496291
11.28664705882353,2.485133
11.317235294117648,2.477434
11.347823529411764,2.4670465
11.378411764705882,2.4597466
11.409,2.4492729
11.439588235294117,2.4411008
11.470176470588235,2.4316363
11.500764705882354,2.4198236
11.53135294117647,2.4122689
11.561941176470588,2.4043727
11.592529411764705,2.3922365
11.623117647058823,2.3835163
11.653705882352941,2.3735714
11.68429411764706,2.3633687
11.714882352941176,2.3542361
11.745470588235294,2.3442588
11.77605882352941,2.3347201
11.806647058823529,2.3239498
11.837235294117647,2.3134973
11.867823529411766,2.3017836
11.898411764705882,2.2903354
11.929,2.2822373
11.959588235294117,2.2735004
11.990176470588235,2.2572806
12.020764705882353,2.2490475
12.051352941176471,2.2369418
12.081941176470588,2.2264419
12.112529411764706,2.2146652
12.143117647058823,2.2046258
12.173705882352941,2.1932125
12.20429411764706,2.182953
12.234882352941177,2.1696758
12.265470588235294,2.1602106
12.296058823529412,2.1482875
12.326647058823529,2.136075
12.357235294117647,2.1268876
12.387823529411765,2.1155763
12.418411764705883,2.1029522
12.449,2.0918999
12.479588235294118,2.0820935
12.510176470588235,2.071233
12.540764705882353,2.0579996
12.571352941176471,2.0479937
12.60194117647059,2.0387757
12.632529411764706,2.0255578
12.663117647058824,2.0159655
12.69370588235294,2.0062048
12.724294117647059,1.9937139
12.754882352941177,1.9845483
12.785470588235295,1.974966
12.816058823529412,1.9644108
12.84664705882353,1.9550164
12.877235294117646,1.9416628
12.907823529411765,1.9317515
12.938411764705883,1.9217789
12.969000000000001,1.9133754
12.999588235294118,1.9033203
13.030176470588236,1.8924062
13.060764705882352,1.8825753
13.09135294117647,1.8741081
13.121941176470589,1.8632855
13.152529411764707,1.8559086
13.183117647058824,1.8460975
13.213705882352942,1.837143
13.244294117647058,1.829958
13.274882352941177,1.8202059
13.305470588235295,1.8096399
13.336058823529413,1.8010166
13.36664705882353,1.793782
13.397235294117648,1.7853951
13.427823529411764,1.7772021
13.458411764705883,1.7663572
13.489,1.7615228
13.519588235294119,1.7515705
13.550176470588235,1.7425611
13.580764705882354,1.7367105
13.61135294117647,1.7287436
13.641941176470588,1.7209466
13.672529411764707,1.7148545
13.703117647058825,1.7076306
13.733705882352941,1.6971726
13.76429411764706,1.6925936
13.794882352941176,1.6827734
13.825470588235294,1.6768885
13.856058823529413,1.6703513
13.88664705882353,1.6625056
13.917235294117647,1.6563828
13.947823529411766,1.6493096
13.978411764705882,1.6446993
14.009,1.6372714
