candidate,trial_number,physics_level,worst_fold_median_R2,R2_q10,R2_median,R2_mean,R2_std,NRMSE_mean,RMSE_mean,MAE_mean,PCD_min,PCD_mean,PCD_std,bias_abs_mean,violation_max,parameter_count,training_time_s
TRIAL_0044_CDP_NEG,44,A,0.5669939179334758,0.5649399424257088,0.6838026112240749,0.6616574118640688,0.06853157148201373,0.5790975194273901,1.3267947226898367,0.7237781669814827,99.31640625,99.70703125,0.2572181092005063,0.3459436405385678,0.68359375,50273,681.5769315000507
TRIAL_0050_CDP_NEG,50,B,0.56168237698879,0.5607185909935576,0.6759347589267453,0.6477337295942429,0.07043479644049877,0.5908478220250423,1.3512355844775052,0.7767969428850775,98.291015625,99.67990451388889,0.5514072140782853,0.35268865895173884,1.708984375,20353,469.80580790003296
TRIAL_0049_CDP_NEG,49,B,0.5479642760804543,0.5473422239970832,0.6558266274668114,0.6437636064600405,0.07699728998261307,0.593690967854934,1.3574032962539786,0.733671410923834,98.583984375,99.62565104166667,0.4455148337620766,0.29048511374506947,1.416015625,49441,600.8536792999948
