trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
0,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,15000,55.26912870001979,0.03336620330810547,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.549399567202552,1.660685778591059,0.7763509176747568,0.037661120585200325,0.6712237785568407,-0.47791499001803983,1.5905364393512424,0.7854098868034392,0.4804894244386435,0.748718549285263,0.0,100.0,0.0,0.0,-0.3439439535140991,-0.3060606122016907,-0.6787384748458862,-0.13505007326602936,-0.3342950940132141,-0.29747456312179565,-0.6596974730491638,-0.1312614381313324,97.94921875,2.05078125,0.0,-0.019907327368855476,CDP_NEG,20,67841,55.268814800016116,64,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,320,315,98.4375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
0,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,47312,109.32853749999776,0.032784461975097656,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7173576203344496,1.2566658259094272,0.745117217179917,0.035863786798665066,0.5316040446772046,-0.44474591112849815,1.1754162027687325,0.8676609611458842,0.7452501591706645,0.24894573694630254,0.0,100.0,0.0,0.0,-0.580339789390564,-0.5463249683380127,-0.9271019101142883,-0.27045392990112305,-0.4108990728855133,-0.38681548833847046,-0.656417727470398,-0.19149000942707062,89.111328125,10.888671875,0.0,-0.01982375979423523,CDP_NEG,30,67841,109.32822549995035,64,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,320,315,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
0,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,177.3584283000091,0.03311491012573242,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7254729760996881,1.0514685999329278,0.6046484653576882,0.030198682623477902,0.523916664579602,0.14297116012593833,1.0417759280066927,0.8647657229637897,0.8614670694301205,0.43127240627050195,0.0,100.0,0.0,0.0,-0.6167947053909302,-0.589237630367279,-0.9427510499954224,-0.300495982170105,-0.3865419030189514,-0.36927205324172974,-0.5908170342445374,-0.18831920623779297,79.931640625,20.068359375,0.0,-0.019868209958076477,CDP_NEG,55,67841,177.35812350001652,64,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,320,319,99.6875,CDP,1.425508144193831,20,0.99,1.425508144193831
1,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,15000,37.46610239997972,0.02737569808959961,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5145555607040956,1.7236989998632133,0.7931281229982047,0.039090137775198736,0.6966927583160447,-0.38249169429135377,1.6808357205221396,0.776538536757204,0.40571463346528686,1.0206950680203606,0.0,99.609375,0.390625,0.0,-0.3341105580329895,-0.3206195831298828,-0.5684072971343994,-0.14260050654411316,-0.324737548828125,-0.31162509322166443,-0.5524614453315735,-0.13860006630420685,97.8515625,2.1484375,0.0,-0.022691331803798676,CDP_NEG,150,38593,37.46582349995151,256,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,320,315,98.4375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
1,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,47312,32.82220370002324,0.027130126953125,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6972627507360754,1.3005710862431148,0.7658935446626562,0.037116792063455924,0.5501771716730811,-0.5006465102359444,1.2004331342541912,0.8645545647364132,0.6843257514778085,0.3589441729191228,0.0,100.0,0.0,0.0,-0.4593551754951477,-0.39337867498397827,-0.9044530987739563,-0.20842215418815613,-0.32523810863494873,-0.2785246670246124,-0.6403816342353821,-0.14756953716278076,99.70703125,0.29296875,0.0,-0.034485891461372375,CDP_NEG,25,38593,32.82189550000476,256,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,320,315,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
1,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,40.44989400001941,0.027457714080810547,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6793838697126668,1.1363089853889816,0.5664392693534908,0.03263533919525221,0.5661901968302263,-0.01196059467634691,1.1363254133324177,0.8251956750079646,0.6486859139845698,0.7191600736711458,0.0,100.0,0.0,0.0,-0.3422435224056244,-0.2690756320953369,-0.8029327988624573,-0.142093688249588,-0.21448218822479248,-0.1686282604932785,-0.5031936168670654,-0.08904934674501419,100.0,0.0,0.0,-0.029345449060201645,CDP_NEG,1,38593,40.449634499964304,256,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,320,319,99.6875,CDP,1.425508144193831,20,0.99,1.425508144193831
2,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,6.2612728999811225,0.021328449249267578,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4650432089645249,1.8094684571294257,0.8694363664554268,0.04103522209775524,0.7313594604298185,-0.6471990883567331,1.68987686119225,0.7385003975187436,0.4648138600033959,0.6164465426888934,0.0,100.0,0.0,0.0,-0.2786128520965576,-0.24527323246002197,-0.4475982189178467,-0.1636524647474289,-0.2707967758178711,-0.23839245736598969,-0.43504151701927185,-0.15906143188476562,100.0,0.0,0.0,-0.026009971275925636,CDP_NEG,25,4865,6.261005600041244,512,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
2,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,24.518519600038417,0.021650314331054688,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6810391336977089,1.334964957014883,0.7912959950966698,0.03809835328928688,0.5647267205168601,-0.5413119606689344,1.220377415431146,0.8613054105991398,0.6630753411081498,0.37614424320090195,0.0,100.0,0.0,0.0,-0.38405323028564453,-0.3555530309677124,-0.6798979043960571,-0.19756026566028595,-0.27192193269729614,-0.2517428994178772,-0.4813894033432007,-0.13987895846366882,98.974609375,1.025390625,0.0,-0.03486928343772888,CDP_NEG,140,4865,24.518247200001497,512,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,630,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
2,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,26.229341900034342,0.021970272064208984,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6081025865356875,1.2562901521595091,0.6641051835330175,0.036081255864878724,0.6259733731521759,0.13725836530886812,1.2488566673800212,0.7847687859649212,0.6594245203601831,0.8460308916860043,0.0,99.951171875,0.048828125,0.0,-0.4161767363548279,-0.379023015499115,-0.7576780915260315,-0.19889333844184875,-0.26081570982933044,-0.23753169178962708,-0.47483277320861816,-0.12464538216590881,88.28125,11.71875,0.0,-0.029859693720936775,CDP_NEG,80,4865,26.229049500019755,512,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,635,99.21875,CDP,1.425508144193831,20,0.99,1.425508144193831
3,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,6.926271900010761,0.024156570434570312,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.45914590686831247,1.81941480641954,0.910667199654347,0.041260785936999604,0.7353796226058448,-0.6884820323189482,1.68423116000598,0.7350656356756057,0.4954339212792454,0.5028655630304963,0.0,100.0,0.0,0.0,-0.3272995948791504,-0.24547706544399261,-0.753261148929596,-0.155483216047287,-0.31811773777008057,-0.2385905683040619,-0.7321295142173767,-0.1511213630437851,100.0,0.0,0.0,-0.027472861111164093,CDP_NEG,25,10369,6.9260021999944,512,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
