pollutant,model_family,R2_TEST,serialized_size_bytes,serialized_size_MiB,pareto_nondominated,artifact_name,artifact_sha256
CO,PINN densa,0.531661703394,261215,0.24911403656,True,final_model_seed_126.pt,f226546a9fc624be8b6012967212dfbaeb40d4e82da749b0593e9ab3b6962c81
CO,TT-PINN,0.522242634868,68373,0.0652055740356,True,tt_final_model_seed_126.pt,cf00d198b053777e48ffa80a9a671dba9e12a04a08ca2d894f3ce123f8558110
CO,XGBoost,0.508066343785,2076456,1.98026275635,False,XGBOOST_CO_INTERP_seed42.ubj,30de869293e411dacbc7095da25c8fe55f637d610c65f4a6b03abe7d30efd6a4
NOx,PINN densa,0.774802102345,286885,0.273594856262,True,final_model_seed_84.pt,aae35b5c02a41a28537bfd945aa660ba3ba8c7a9fa0647b2881ebac184e91e47
NOx,TT-PINN,0.768588695225,74829,0.0713624954224,True,tt_final_model_seed_84.pt,e4724801a279d0f06184dcb952f3f8b65026ace8a028b6e0ab46b27ebf996ca1
NOx,XGBoost,0.744907342221,133653329,127.461747169,False,XGBOOST_NOX_INTERP_seed42.ubj,d4b11175fd623fb8089b70dd4650cbe25dd6bad31f0675e7e5d855ffb8eff68f
