pollutant,model_family,configuration_id,source,validation_R2,serialized_size_bytes,serialized_size_MiB,size_basis,pareto_nondominated_validation
CO,PINN densa,TRIAL_0038,OPTUNA_AUTONOMOUS_R5,0.768009523805,195103,0.186064720154,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0040,OPTUNA_AUTONOMOUS_R5,0.757686541356,324447,0.309416770935,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0041,OPTUNA_AUTONOMOUS_R5,0.756300727204,151199,0.144194602966,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0042,OPTUNA_AUTONOMOUS_R5,0.758769486801,124063,0.118315696716,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0043,OPTUNA_AUTONOMOUS_R5,0.754217887015,389791,0.371733665466,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0044,OPTUNA_AUTONOMOUS_R5,0.760278768057,147743,0.140898704529,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0045,OPTUNA_AUTONOMOUS_R5,0.768139505121,154079,0.146941184998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0046,OPTUNA_AUTONOMOUS_R5,0.770428292473,334815,0.319304466248,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0047,OPTUNA_AUTONOMOUS_R5,0.767440533066,41183,0.0392751693726,estimated_float32_parameters_plus_calibrated_final_package_overhead,True
CO,PINN densa,TRIAL_0049,OPTUNA_AUTONOMOUS_R5,0.768935584303,243935,0.232634544373,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0050,OPTUNA_AUTONOMOUS_R5,0.761783942005,556127,0.53036403656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0051,OPTUNA_AUTONOMOUS_R5,0.760428894471,124511,0.11874294281,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0052,OPTUNA_AUTONOMOUS_R5,0.768111938057,195039,0.186003684998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0053,OPTUNA_AUTONOMOUS_R5,0.770053481873,388191,0.37020778656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0055,OPTUNA_AUTONOMOUS_R5,0.769234233343,245087,0.233733177185,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0056,OPTUNA_AUTONOMOUS_R5,0.766796784357,293983,0.28036403656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0059,OPTUNA_AUTONOMOUS_R5,0.768468624079,256103,0.244238853455,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0061,OPTUNA_AUTONOMOUS_R5,0.767807245425,428903,0.40903377533,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0062,OPTUNA_AUTONOMOUS_R5,0.761485637967,173799,0.165747642517,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0063,OPTUNA_AUTONOMOUS_R5,0.765769190517,359199,0.342558860779,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0064,OPTUNA_AUTONOMOUS_R5,0.759289947092,167015,0.159277915955,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0065,OPTUNA_AUTONOMOUS_R5,0.772366263872,112487,0.10727596283,estimated_float32_parameters_plus_calibrated_final_package_overhead,True
CO,PINN densa,TRIAL_0066,OPTUNA_AUTONOMOUS_R5,0.768468488238,298591,0.28475856781,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0067,OPTUNA_AUTONOMOUS_R5,0.772229482588,371423,0.354216575623,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0068,OPTUNA_AUTONOMOUS_R5,0.77345353442,424415,0.404753684998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0069,OPTUNA_AUTONOMOUS_R5,0.77002370787,268383,0.25594997406,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0071,OPTUNA_AUTONOMOUS_R5,0.768319450635,429407,0.409514427185,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0072,OPTUNA_AUTONOMOUS_R5,0.766228288093,339039,0.32333278656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0074,OPTUNA_AUTONOMOUS_R5,0.768649686307,159071,0.151701927185,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0075,OPTUNA_AUTONOMOUS_R5,0.764040436935,301159,0.287207603455,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0076,OPTUNA_AUTONOMOUS_R5,0.770826684175,372191,0.354948997498,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0077,OPTUNA_AUTONOMOUS_R5,0.77280736419,313439,0.29891872406,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0078,OPTUNA_AUTONOMOUS_R5,0.773908005961,313439,0.29891872406,estimated_float32_parameters_plus_calibrated_final_package_overhead,True
CO,PINN densa,TRIAL_0079,OPTUNA_AUTONOMOUS_R5,0.762235437833,285151,0.271941184998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0080,OPTUNA_AUTONOMOUS_R5,0.764767436558,328159,0.312956809998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0081,OPTUNA_AUTONOMOUS_R5,0.771327499584,313439,0.29891872406,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0083,OPTUNA_AUTONOMOUS_R5,0.767714259103,251615,0.239958763123,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0084,OPTUNA_AUTONOMOUS_R5,0.760823781588,223463,0.213110923767,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0085,OPTUNA_AUTONOMOUS_R5,0.771899906149,243295,0.23202419281,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0086,OPTUNA_AUTONOMOUS_R5,0.768377342249,378719,0.361174583435,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0087,OPTUNA_AUTONOMOUS_R5,0.765656754607,237919,0.226897239685,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0088,OPTUNA_AUTONOMOUS_R5,0.765576760065,313439,0.29891872406,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0089,OPTUNA_AUTONOMOUS_R5,0.764919011505,261215,0.24911403656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0091,OPTUNA_AUTONOMOUS_R5,0.760960247744,193759,0.184782981873,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0092,OPTUNA_AUTONOMOUS_R5,0.766956357561,184927,0.17636013031,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0095,OPTUNA_AUTONOMOUS_R5,0.743703479143,94431,0.0900564193726,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0097,OPTUNA_AUTONOMOUS_R5,0.770371342397,149479,0.142554283142,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0098,OPTUNA_AUTONOMOUS_R5,0.761288078433,261471,0.249358177185,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0100,OPTUNA_AUTONOMOUS_R5,0.759817098135,253023,0.24130153656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0101,OPTUNA_AUTONOMOUS_R5,0.76623079288,261919,0.249785423279,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0102,OPTUNA_AUTONOMOUS_R5,0.762848655111,313439,0.29891872406,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0105,OPTUNA_AUTONOMOUS_R5,0.769485709455,202591,0.193205833435,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0107,OPTUNA_AUTONOMOUS_R5,0.762238013175,178143,0.169890403748,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0112,OPTUNA_AUTONOMOUS_R5,0.769908320514,260447,0.248381614685,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0113,OPTUNA_AUTONOMOUS_R5,0.76530157469,367079,0.350073814392,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0116,OPTUNA_AUTONOMOUS_R5,0.770661270839,228959,0.21835231781,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0119,OPTUNA_AUTONOMOUS_R5,0.765415017449,438111,0.417815208435,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,XGBoost,ANCHOR_BALANCED_identity,ANCHOR,0.758382532594,2092218,1.99529457092,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0013,OPTUNA,0.754020263091,6528590,6.22614860535,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0025,OPTUNA,0.758259963025,10628036,10.135684967,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0034,OPTUNA,0.755402308864,6001318,5.72330284119,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0032,OPTUNA,0.755257303658,26011355,24.8063611984,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0022,OPTUNA,0.756838629721,9864755,9.40776348114,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0033,OPTUNA,0.754720823513,15139154,14.4378223419,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0024,OPTUNA,0.759120149413,24242284,23.1192436218,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0029,OPTUNA,0.75575230701,32526653,31.0198335648,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0035,OPTUNA,0.754801148333,5773032,5.50559234619,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0027,OPTUNA,0.757964429045,18216660,17.3727607727,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0039,OPTUNA,0.758854811832,81178078,77.4174480438,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0001,OPTUNA,0.754347457464,3671372,3.50129318237,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0019,OPTUNA,0.756026417457,32366686,30.8672771454,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0038,OPTUNA,0.75607050648,34401918,32.8082256317,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0023,OPTUNA,0.75529492991,3099237,2.95566272736,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_BALANCED_log1p,ANCHOR,0.757790861219,1782374,1.69980430603,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_REGULARIZED_identity,ANCHOR,0.756900707541,4233456,4.03733825684,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0020,OPTUNA,0.750306320427,52843632,50.395614624,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0036,OPTUNA,0.756375079962,13695022,13.060590744,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0010,OPTUNA,0.752149552739,3769826,3.59518623352,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0012,OPTUNA,0.75300252049,7710690,7.35348701477,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0031,OPTUNA,0.753399960467,14844407,14.1567296982,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_REGULARIZED_log1p,ANCHOR,0.751318969644,2063957,1.96834278107,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0014,OPTUNA,0.75278140613,7890280,7.52475738525,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0004,OPTUNA,0.741583155956,111454,0.106290817261,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0002,OPTUNA,0.75689834594,1845741,1.76023578644,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0021,OPTUNA,0.75314221695,38386443,36.6081647873,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0017,OPTUNA,0.755000908921,86730074,82.7122440338,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0037,OPTUNA,0.751219763536,47953011,45.731554985,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0005,OPTUNA,0.754632625244,45653425,43.5384988785,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0006,OPTUNA,0.751019772206,3664732,3.49496078491,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_LITERATURE_SHAPE_log1p,ANCHOR,0.743429398132,125784,0.119956970215,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0016,OPTUNA,0.747923641491,6502056,6.20084381104,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0003,OPTUNA,0.74912112982,231477,0.220753669739,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0008,OPTUNA,0.749482179737,306818,0.292604446411,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_LITERATURE_SHAPE_identity,ANCHOR,0.748575383867,207317,0.197712898254,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0028,OPTUNA,0.751440752704,13298582,12.682516098,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,ANCHOR_COMPACT_identity,ANCHOR,0.742359787295,880998,0.840185165405,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0026,OPTUNA,0.746078314419,5680664,5.41750335693,measured_median_ubj_bytes_across_validation_folds,False
