attempted,complete,best_objective,block_improvement,stale_blocks
30,14,0.9061697008081299,inf,0
35,19,0.9136874280954511,0.007517727287321252,0
40,23,0.9194796286244469,0.005792200528995761,0
45,26,0.9203303315410846,0.0008507029166376912,1
50,29,0.922222125253753,0.0018917937126684548,2
