CDP,predicted_CO_mg_m3
10.369,2.092583
10.399588235294118,2.084866
10.430176470588234,2.077868
10.460764705882353,2.0692174
10.491352941176471,2.0614634
10.521941176470587,2.0544238
10.552529411764706,2.0473108
10.583117647058824,2.0395525
10.61370588235294,2.0322301
10.644294117647059,2.0255568
10.674882352941177,2.0177524
10.705470588235293,2.0104523
10.736058823529412,2.0035875
10.76664705882353,1.9965312
10.797235294117646,1.9897356
10.827823529411765,1.9826581
10.858411764705883,1.9763689
10.889,1.9684477
10.919588235294118,1.9619551
10.950176470588236,1.9545848
10.980764705882352,1.9486065
11.01135294117647,1.9410923
11.041941176470589,1.9350581
11.072529411764705,1.9281225
11.103117647058824,1.9213738
11.133705882352942,1.9150162
11.164294117647058,1.9080923
11.194882352941177,1.9018204
11.225470588235295,1.8953001
11.256058823529411,1.8891692
11.28664705882353,1.8829763
11.317235294117648,1.8759224
11.347823529411764,1.8699944
11.378411764705882,1.8639059
11.409,1.8573039
11.439588235294117,1.8506591
11.470176470588235,1.84532
11.500764705882354,1.8391893
11.53135294117647,1.8330503
11.561941176470588,1.8271577
11.592529411764705,1.8210769
11.623117647058823,1.8151801
11.653705882352941,1.8096669
11.68429411764706,1.8041551
11.714882352941176,1.7981799
11.745470588235294,1.7923429
11.77605882352941,1.7858865
11.806647058823529,1.7806687
11.837235294117647,1.7747123
11.867823529411766,1.7691767
11.898411764705882,1.763344
11.929,1.7577665
11.959588235294117,1.7515748
11.990176470588235,1.7464364
12.020764705882353,1.7406635
12.051352941176471,1.7355096
12.081941176470588,1.7299709
12.112529411764706,1.7242944
12.143117647058823,1.7190902
12.173705882352941,1.7141521
12.20429411764706,1.7085485
12.234882352941177,1.7033212
12.265470588235294,1.6979733
12.296058823529412,1.6925142
12.326647058823529,1.6874285
12.357235294117647,1.6817319
12.387823529411765,1.6765532
12.418411764705883,1.6721635
12.449,1.666528
12.479588235294118,1.6611531
12.510176470588235,1.6559391
12.540764705882353,1.65168
12.571352941176471,1.646035
12.60194117647059,1.640547
12.632529411764706,1.6357126
12.663117647058824,1.6301577
12.69370588235294,1.6248274
12.724294117647059,1.6202257
12.754882352941177,1.6149514
12.785470588235295,1.6100156
12.816058823529412,1.6050549
12.84664705882353,1.6000183
12.877235294117646,1.5945911
12.907823529411765,1.5902698
12.938411764705883,1.584729
12.969000000000001,1.5794973
12.999588235294118,1.574333
13.030176470588236,1.5692687
13.060764705882352,1.5645084
13.09135294117647,1.5592794
13.121941176470589,1.554395
13.152529411764707,1.5492213
13.183117647058824,1.543603
13.213705882352942,1.5388114
13.244294117647058,1.5338776
13.274882352941177,1.5285022
13.305470588235295,1.5234838
13.336058823529413,1.5181365
13.36664705882353,1.513037
13.397235294117648,1.5086377
13.427823529411764,1.5025499
13.458411764705883,1.4978285
13.489,1.4919565
13.519588235294119,1.4874189
13.550176470588235,1.4830704
13.580764705882354,1.477721
13.61135294117647,1.4714594
13.641941176470588,1.4668176
13.672529411764707,1.4611506
13.703117647058825,1.456331
13.733705882352941,1.4508097
13.76429411764706,1.445864
13.794882352941176,1.4402242
13.825470588235294,1.4350495
13.856058823529413,1.4296377
13.88664705882353,1.4247692
13.917235294117647,1.4189303
13.947823529411766,1.4139881
13.978411764705882,1.408124
14.009,1.4026134
