epoch,loss_data,loss_physics,loss_total,physics_warmup,learning_rate
1,0.19500629156827926,5.732576572770043e-06,0.19500874280929564,0.047619047619047616,0.0007722304623405512
2,0.16769287288188933,6.936871891382405e-05,0.1677522212266922,0.09523809523809523,0.0007722304623405512
3,0.15636791835228603,1.9328607605650915e-05,0.15639272232850393,0.14285714285714285,0.0007722304623405512
4,0.14996232191721598,2.0036580764800267e-05,0.1499966077506542,0.19047619047619047,0.0007722304623405512
5,0.14889531085888544,2.0055586515847303e-05,0.14893820782502493,0.23809523809523808,0.0007722304623405512
6,0.14289706349372863,1.4945614839234623e-05,0.14293542355298997,0.2857142857142857,0.0007722304623405512
7,0.13856156220038732,1.0772996413758543e-05,0.13859382222096125,0.3333333333333333,0.0007722304623405512
8,0.13619407291213673,1.659625534244924e-05,0.1362508699297905,0.38095238095238093,0.0007722304623405512
9,0.13299907346566517,1.2128775968752356e-05,0.13304576923449835,0.42857142857142855,0.0007722304623405512
10,0.13221655587355297,1.0089296100090906e-05,0.1322597158451875,0.47619047619047616,0.0007722304623405512
11,0.12248121822873752,9.459642618499704e-06,0.12252573221921921,0.5238095238095238,0.0007722304623405512
12,0.12311372682452201,7.085698291101987e-06,0.1231501005589962,0.5714285714285714,0.0007722304623405512
13,0.12049305637677511,5.693917098999653e-06,0.12052472233772278,0.6190476190476191,0.0007722304623405512
14,0.11688635597626368,5.035040478655143e-06,0.1169165109594663,0.6666666666666666,0.0007722304623405512
15,0.11810899600386619,3.5792077672051428e-06,0.11813196192185084,0.7142857142857143,0.0007722304623405512
16,0.1147178865969181,3.989675844010346e-06,0.11474519371986389,0.7619047619047619,0.0007722304623405512
17,0.11023654962579409,4.11565302359899e-06,0.11026647984981537,0.8095238095238095,0.0007722304623405512
18,0.11109855075677236,2.0369721294007564e-06,0.11111423571904501,0.8571428571428571,0.0007722304623405512
19,0.10977979575594267,1.3595115695134534e-06,0.10979084596037865,0.9047619047619048,0.0007722304623405512
20,0.1117693620423476,1.5397564187817163e-06,0.11178253665566444,0.9523809523809523,0.0007722304623405512
21,0.10599306176106135,1.2440682221874037e-06,0.10600423788030942,1.0,0.0007722304623405512
22,0.10760654533902804,1.240655681552146e-06,0.10761769016583761,1.0,0.0007722304623405512
23,0.10570649430155754,1.3894921893298219e-06,0.10571897650758426,1.0,0.0007722304623405512
24,0.10463800728321075,1.7169527898615773e-06,0.10465343097845713,1.0,0.0007722304623405512
25,0.10684802159667015,1.2516779879826837e-06,0.10685926675796509,1.0,0.0007722304623405512
26,0.10256790791948636,1.2101152037757857e-06,0.10257877881328265,1.0,0.0007722304623405512
27,0.10240374952554702,1.1562290819139286e-06,0.1024141363799572,1.0,0.0007722304623405512
28,0.10181225414077441,1.3647219238327457e-06,0.10182451382279396,1.0,0.0007722304623405512
29,0.09992229590813319,1.3137290435792185e-06,0.09993409737944603,1.0,0.0007722304623405512
30,0.09988941277066866,1.2461878013366364e-06,0.09990060751636823,1.0,0.0007722304623405512
31,0.10313498303294182,8.682957427730287e-07,0.10314278354247411,1.0,0.0007722304623405512
32,0.09910963028669358,9.539432102541786e-07,0.09911819969614347,1.0,0.0007722304623405512
33,0.09973292052745819,6.837987699255995e-07,0.09973906377951304,1.0,0.0007722304623405512
34,0.09930870408813158,1.395083670763242e-06,0.09932123670975367,1.0,0.0007722304623405512
35,0.09872551982601484,1.1001926325230708e-06,0.09873540376623471,1.0,0.0007722304623405512
36,0.09835678214828174,7.668439287011886e-07,0.09836367095510165,1.0,0.0007722304623405512
37,0.09653649131457011,1.4935185827291696e-06,0.09654990782340368,1.0,0.0007722304623405512
38,0.09595199500521025,8.956169165075245e-07,0.09596004138390223,1.0,0.0007722304623405512
39,0.09629093905289968,5.650118202045936e-07,0.09629601513346037,1.0,0.0007722304623405512
40,0.09748130093018213,9.882153649165559e-07,0.09749017904202144,1.0,0.0007722304623405512
41,0.09566647782921792,9.921448251256256e-07,0.09567539095878601,1.0,0.0007722304623405512
42,0.09398996407787005,1.1552421542641392e-06,0.09400034248828888,1.0,0.0007722304623405512
43,0.09472543299198151,6.246539393110299e-07,0.09473104427258174,1.0,0.0007722304623405512
