candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
OPTUNA_0027,WF01,126,7411,7628,1047,1048,157810,79429,6057885,5.85914319998119,0.7389865524237871,5.223524186653494,3.730780787219411,-0.5990435558493122,0.0,81.4345,9.883413284083751,7.529970812636309,-5.192522300390241
OPTUNA_0027,WF02,126,15039,7152,1626,1627,464805,233216,16877970,10.894305800029542,0.6164297093937963,7.461326569189653,5.566215649517324,-1.470415090816933,0.0,83.85260000000002,13.203496596765145,10.566889826300423,-10.078423049031692
OPTUNA_0027,WF03,126,22191,7158,99,100,21946,11023,813006,1.2849091999814846,-0.022375034028565555,10.081966906194033,9.033315520813893,7.767163135853649,0.0,71.9285,11.632626755940196,9.876027506013157,-2.4757527300019504
OPTUNA_0027,WF01,168,7411,7628,1412,1413,224705,113059,8573224,7.802640600013547,0.7406326525171425,5.207026869514235,3.7232823063330804,-0.5934205245491592,0.0,81.4345,9.818637533591726,7.488557774655003,-5.186821587798793
OPTUNA_0027,WF02,168,15039,7152,1907,1908,560032,280970,20301148,12.410493100003805,0.6213792386901105,7.413030383164749,5.522808767293124,-1.4280504924296265,0.0,83.85260000000002,13.076311870258003,10.441070984781788,-9.94196832296702
OPTUNA_0027,WF03,168,22191,7158,115,116,26550,13333,980070,1.358972200017888,-0.010429032643594738,10.022892165089171,8.923562835019737,7.689827954053811,0.0,71.9285,11.732748315991463,9.967882934271955,-2.0110276085624483
OPTUNA_0032,WF01,126,7411,7628,1047,1048,213854,107451,7963449,7.246759900008328,0.7413886149146611,5.199433028234234,3.703920796062788,-0.5464140635201864,0.0,81.4345,9.865800783271773,7.528701296465114,-5.266226356236369
OPTUNA_0032,WF02,126,15039,7152,1603,1604,704768,353186,25021537,14.677914200001396,0.6168197661307238,7.457531852769199,5.549362718475479,-1.4422468237652872,0.0,83.85260000000002,13.154290581864284,10.488259689373676,-10.002494387621322
OPTUNA_0032,WF03,126,22191,7158,85,86,25372,12729,920277,1.624875699984841,-0.009050210616227572,10.016051257981768,8.960164547536785,7.70600751287093,0.0,71.9285,11.553694735036142,9.76852487711134,-2.446554935902857
OPTUNA_0032,WF01,168,7411,7628,1406,1407,300965,151186,11162162,9.718299900006969,0.7417455801650925,5.195843360619727,3.7124873109646472,-0.5091926370389684,0.0,81.4345,9.795308497253776,7.483627702145557,-5.243220761960331
OPTUNA_0032,WF02,168,15039,7152,1521,1522,662026,331774,23514190,14.207707099965774,0.6239908906726174,7.387419324638846,5.500022272771371,-1.4269023821615263,0.0,83.85260000000002,13.135225357134674,10.506120649412358,-10.012101308428377
OPTUNA_0032,WF03,168,22191,7158,106,107,34491,17299,1244142,1.880708099983167,0.0030826230804760213,9.955652580808234,8.844351147063586,7.621330961105375,0.0,71.9285,11.750821706303677,9.956767279001587,-1.9318914420697944
