feature,gain
AP,11.9325532913208
CDP,16.557748794555664
AH,17.38442039489746
TEY,21.51259994506836
AFDP,22.270490646362305
TAT,30.217308044433594
TIT,58.90137481689453
GTEP,64.91712188720703
AT,180.23068237304688
