trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
10,OPTUNA_0010,0,42,7411,7628,686,687,61939,31313,2559553,4.3150808,0.5469883224,1.6651231669,0.8680850919,-0.3869329516,0.0,5.00594,4.5023811382,2.5645149767,-1.933577722
10,OPTUNA_0010,1,42,15039,7152,65,66,12362,6214,464776,1.0557603,0.6914537473,1.3129896542,0.7853691255,-0.4905536358,0.0,5.63504,3.421571011,2.632790724,-2.5636052505
10,OPTUNA_0010,2,42,22191,7158,39,40,11492,5766,418087,0.9950885,0.5514512119,1.3440288843,0.717937454,0.3678916214,0.0,3.6468,3.1874922717,1.4674117483,-0.4555068702
11,OPTUNA_0011,0,42,7411,7628,384,385,51099,25742,1992207,2.3687206,0.5363078998,1.684637691,0.9068821309,-0.323159323,0.0,5.00594,4.5035714271,2.627421322,-1.8855291639
11,OPTUNA_0011,1,42,15039,7152,116,117,22975,11546,859171,1.1393635,0.7017667115,1.2908602412,0.7874442252,-0.4782129598,0.0,5.63504,3.2716160946,2.4893246992,-2.3636586722
11,OPTUNA_0011,2,42,22191,7158,25,26,7276,3651,265531,0.7736974,0.5185509956,1.3924477407,0.7721303026,0.4425503765,0.0,3.6468,3.305867162,1.4567069773,-0.8121393601
12,OPTUNA_0012,0,42,7411,7628,20,21,4985,2503,184349,0.6246192,0.5482192664,1.6628593537,0.9384129464,-0.4151217827,0.0,5.00594,4.1435893523,2.5846698494,-2.0572388779
12,OPTUNA_0012,1,42,15039,7152,23,24,6676,3350,243817,0.5952227,0.7002509146,1.2941365387,0.7949800023,-0.4722168042,0.0,5.63504,3.2603554857,2.5206879682,-2.3841167117
12,OPTUNA_0012,2,42,22191,7158,6,7,2433,1220,88365,0.5343823,0.6125429146,1.2491527891,0.7243358204,0.3739936654,0.0,3.6468,2.8324976272,1.4770253373,-1.0733201313
13,OPTUNA_0013,0,42,7411,7628,45,46,27244,13645,957605,1.0731089,0.490745892,1.7654642801,0.9742492063,-0.3219077179,0.0,5.00594,4.2560010366,2.6466670155,-1.917352448
13,OPTUNA_0013,1,42,15039,7152,38,39,33101,16570,1152141,1.1690765,0.6876932306,1.3209666852,0.8085723211,-0.4725993606,0.0,5.63504,3.3620749249,2.5557898323,-2.3871101411
13,OPTUNA_0013,2,42,22191,7158,6,7,7415,3711,257758,0.941447,0.5500386424,1.3461435281,0.7565130809,0.3351124455,0.0,3.6468,3.3490273482,1.8149746347,-1.5861382704
14,OPTUNA_0014,0,42,7411,7628,274,275,3489,1882,300591,0.7807937,0.5145404167,1.7237258872,0.9322097041,-0.548544711,0.0,5.00594,4.6429167289,2.8163924385,-2.1198413961
14,OPTUNA_0014,1,42,15039,7152,206,207,2949,1578,237469,0.687758,0.7047277913,1.2844359494,0.7662468856,-0.5153803614,0.0,5.63504,3.3191157998,2.5539807596,-2.4301826336
14,OPTUNA_0014,2,42,22191,7158,64,65,951,508,76078,0.419843,0.5837607899,1.2947181992,0.754588821,0.3996788854,0.0,3.6468,2.8362615042,1.4507192843,-0.3711342595
15,OPTUNA_0015,0,42,7411,7628,165,166,16560,8363,673300,1.0349591,0.52369296,1.7073995588,0.911021979,-0.5117934075,0.0,5.00594,4.5677972014,2.8051067944,-2.1907514375
15,OPTUNA_0015,1,42,15039,7152,22,23,3539,1781,136499,0.5496489001,0.7001051779,1.2944511023,0.7909306545,-0.5471202818,0.0,5.63504,3.2901027522,2.5224953533,-2.3862341617
15,OPTUNA_0015,2,42,22191,7158,9,10,2040,1025,76980,0.4993747,0.6358937677,1.2109265871,0.6012277546,0.1436562079,0.0,3.6468,2.9328526858,1.3784499301,-0.6674043
16,OPTUNA_0016,0,42,7411,7628,24,25,4717,2371,177867,0.6043449,0.4738829629,1.7944561384,1.0023525375,-0.3527023164,0.0,5.00594,4.4175903997,2.7362175718,-2.1368884126
16,OPTUNA_0016,1,42,15039,7152,23,24,5852,2938,215801,0.7113313,0.6918818874,1.3120783829,0.8066470745,-0.49903728,0.0,5.63504,3.3015675201,2.5226602118,-2.393490735
16,OPTUNA_0016,2,42,22191,7158,6,7,2203,1105,80544,0.5885794,0.6043564746,1.2622802578,0.6440522662,0.2676237145,0.0,3.6468,3.0459290437,1.5227945781,-0.9303293784
17,OPTUNA_0017,0,42,7411,7628,12,13,10787,5400,376355,0.9704069,0.5493707799,1.6607388265,0.9123088728,-0.408014518,0.0262191924,5.00594,4.2074231398,2.5958056847,-1.9266420846
17,OPTUNA_0017,1,42,15039,7152,13,14,20616,10315,711210,1.2104353,0.6774894977,1.3423726551,0.8307632964,-0.4802511212,0.0,5.63504,3.3941821004,2.6527663163,-2.4949277588
17,OPTUNA_0017,2,42,22191,7158,4,5,11189,5597,384758,1.3043428,0.6081382053,1.2562330643,0.6877895078,0.2665061672,0.0,3.6468,3.1273324926,1.6933813144,-1.3842150122
18,OPTUNA_0018,0,42,7411,7628,38,39,25313,12676,887345,1.0062599,0.5390123911,1.6797176688,0.942182976,-0.3600468785,0.0,5.00594,4.3662574004,2.8946284629,-1.7937245538
18,OPTUNA_0018,1,42,15039,7152,47,48,51424,25736,1781065,1.4540739,0.6762787292,1.3448900615,0.816553323,-0.4631418118,0.0,5.63504,3.4438416457,2.6089244463,-2.4623998742
18,OPTUNA_0018,2,42,22191,7158,17,18,32680,16349,1124021,1.3317702,0.5903778442,1.2843857479,0.7239921459,0.3895287311,0.0,3.6468,2.8279772392,1.434254346,-0.7028108563
