candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
ANCHOR_COMPACT_identity,0,42,7411,7628,61,62,1626,844,97059,0.4380383999668993,0.5614297972095833,1.6383671266562538,0.921502184099575,-0.5219894572565186,0.0,5.00594,4.308299734293689,2.836658161928144,-1.9649980657553763
ANCHOR_COMPACT_identity,1,42,15039,7152,59,60,1670,865,97240,0.4632671999861486,0.7007216758311097,1.2931199072360027,0.7697723701802587,-0.5468424461497965,0.0,5.635040000000001,3.354906078921173,2.5955340620373883,-2.453107054181072
ANCHOR_COMPACT_identity,2,42,22191,7158,26,27,811,419,46351,0.389074900012929,0.5911844592754201,1.2831205387026345,0.7012976968873401,0.33467583071376505,0.0,3.6468000000000003,2.9495402727462,1.4895103996434023,-0.5916957643314447
ANCHOR_COMPACT_identity,0,84,7411,7628,71,72,1900,986,112945,0.48088129999814555,0.5696967221015965,1.6228522866214175,0.9071323223954957,-0.5364827158376076,0.0,5.00594,4.261541563065569,2.7150127207703543,-2.0690673655657434
ANCHOR_COMPACT_identity,1,84,15039,7152,64,65,1811,938,105320,0.500794899999164,0.6938003257150026,1.307987302835612,0.7696562344060374,-0.5399248657126563,0.0,5.635040000000001,3.3964592845386083,2.5906408594693553,-2.441059515303873
ANCHOR_COMPACT_identity,2,84,22191,7158,61,62,1784,923,102429,0.4747707000351511,0.6135015793498102,1.24760647528621,0.7132212912416854,0.3532882510328769,0.0,3.6468000000000003,2.5777548443535054,1.391945626920295,-0.17133113404252667
OPTUNA_0033,0,21,7411,7628,156,157,3531,1844,224260,0.7313102000043727,0.5696442386584877,1.6229512520291773,0.9268696301176779,-0.5471025021755711,0.0,5.00594,4.218992089492266,2.8603753246754833,-1.8414260070433308
OPTUNA_0033,1,21,15039,7152,368,369,7615,3992,502655,1.0619098999886774,0.7010293637654366,1.2924550082474062,0.7670791149564281,-0.5242969308172839,0.0,5.635040000000001,3.361430639852129,2.60279533123677,-2.4718765979447177
OPTUNA_0033,2,21,22191,7158,48,49,5027,2538,204177,0.63195499998983,0.5912100133497913,1.2830804356894017,0.7060512016131351,0.3481988679362167,0.0,3.6468000000000003,2.9901316879877218,1.490341234992736,-1.1071530078911913
OPTUNA_0033,0,42,7411,7628,143,144,3534,1839,215807,0.6718929000198841,0.555390265656575,1.6496094963517123,0.9309191528569898,-0.5296907468274691,0.0,5.00594,4.324817308399346,2.847219758804941,-1.8232257312609668
