candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
ANCHOR_COMPACT_identity,0,21,7411,7628,62,63,1647,855,98429,0.47350329998880625,0.5612247010620882,1.6387501708164276,0.9105466530669807,-0.5378036460403263,0.0,5.00594,4.324697452496275,2.7756523264051265,-2.0650455909056555
ANCHOR_COMPACT_identity,1,21,15039,7152,81,82,2254,1168,131551,0.532583300024271,0.6902263853594472,1.3155985242533994,0.7710068863688212,-0.5432153772803769,0.0,5.635040000000001,3.4135909029475595,2.5526201684713365,-2.3930263357030612
ANCHOR_COMPACT_identity,2,21,22191,7158,52,53,1547,800,88457,0.4491207000100985,0.6178056237616016,1.240640357703706,0.6639432932488601,0.30987164625431757,0.0,3.6468000000000003,2.718472693498612,1.4670299268509421,-0.05615577513305828
ANCHOR_COMPACT_identity,0,42,7411,7628,61,62,1626,844,97059,0.4380383999668993,0.5614297972095833,1.6383671266562538,0.921502184099575,-0.5219894572565186,0.0,5.00594,4.308299734293689,2.836658161928144,-1.9649980657553763
ANCHOR_COMPACT_identity,1,42,15039,7152,59,60,1670,865,97240,0.4632671999861486,0.7007216758311097,1.2931199072360027,0.7697723701802587,-0.5468424461497965,0.0,5.635040000000001,3.354906078921173,2.5955340620373883,-2.453107054181072
ANCHOR_COMPACT_identity,2,42,22191,7158,26,27,811,419,46351,0.389074900012929,0.5911844592754201,1.2831205387026345,0.7012976968873401,0.33467583071376505,0.0,3.6468000000000003,2.9495402727462,1.4895103996434023,-0.5916957643314447
ANCHOR_COMPACT_identity,0,84,7411,7628,71,72,1900,986,112945,0.48088129999814555,0.5696967221015965,1.6228522866214175,0.9071323223954957,-0.5364827158376076,0.0,5.00594,4.261541563065569,2.7150127207703543,-2.0690673655657434
ANCHOR_COMPACT_identity,1,84,15039,7152,64,65,1811,938,105320,0.500794899999164,0.6938003257150026,1.307987302835612,0.7696562344060374,-0.5399248657126563,0.0,5.635040000000001,3.3964592845386083,2.5906408594693553,-2.441059515303873
ANCHOR_COMPACT_identity,2,84,22191,7158,61,62,1784,923,102429,0.4747707000351511,0.6135015793498102,1.24760647528621,0.7132212912416854,0.3532882510328769,0.0,3.6468000000000003,2.5777548443535054,1.391945626920295,-0.17133113404252667
OPTUNA_0033,0,21,7411,7628,156,157,3531,1844,224260,0.7313102000043727,0.5696442386584877,1.6229512520291773,0.9268696301176779,-0.5471025021755711,0.0,5.00594,4.218992089492266,2.8603753246754833,-1.8414260070433308
OPTUNA_0033,1,21,15039,7152,368,369,7615,3992,502655,1.0619098999886774,0.7010293637654366,1.2924550082474062,0.7670791149564281,-0.5242969308172839,0.0,5.635040000000001,3.361430639852129,2.60279533123677,-2.4718765979447177
OPTUNA_0033,2,21,22191,7158,48,49,5027,2538,204177,0.63195499998983,0.5912100133497913,1.2830804356894017,0.7060512016131351,0.3481988679362167,0.0,3.6468000000000003,2.9901316879877218,1.490341234992736,-1.1071530078911913
OPTUNA_0033,0,42,7411,7628,143,144,3534,1839,215807,0.6718929000198841,0.555390265656575,1.6496094963517123,0.9309191528569898,-0.5296907468274691,0.0,5.00594,4.324817308399346,2.847219758804941,-1.8232257312609668
OPTUNA_0033,1,42,15039,7152,246,247,7367,3807,413946,0.8805773999774829,0.701725359597724,1.290949730924707,0.7674367173188156,-0.5240743747742926,0.0,5.635040000000001,3.3565358831834584,2.597926814484729,-2.4651747858798703
OPTUNA_0033,2,42,22191,7158,56,57,5605,2831,229085,0.6536888999980874,0.5797819883088807,1.3008915421874976,0.7194840375289704,0.38694391802810535,0.0,3.6468000000000003,2.9271868998277957,1.426291932207246,-0.7928323402287573
OPTUNA_0033,0,84,7411,7628,137,138,3414,1776,207778,0.6374863000237383,0.5570349317416334,1.6465556153675214,0.9350583386203353,-0.5459763096302804,0.0,5.00594,4.275105539422399,2.8218660719815274,-2.0120692158920264
OPTUNA_0033,1,84,15039,7152,323,324,7714,4019,476414,1.0740917000221089,0.6931538527597142,1.3093673379003852,0.7697609203588528,-0.5269859459375518,0.0,5.635040000000001,3.428877680979112,2.641396297417806,-2.5092908671855927
OPTUNA_0033,2,84,22191,7158,72,73,6581,3327,272781,0.684505499957595,0.6125625620173898,1.2491211171782541,0.6791553760974264,0.34874453388689053,0.0,3.6468000000000003,2.769558794385344,1.3768045253913497,-0.5839242771553593
OPTUNA_0019,0,21,7411,7628,6,7,11309,5658,390158,1.265495400002692,0.48458888099462094,1.7761046703474992,0.9771570817583661,-0.4482853894337482,0.0,5.00594,4.712342947841175,3.155899064183016,-2.0648894414226784
OPTUNA_0019,1,21,15039,7152,11,12,29606,14809,1015553,1.8593337999773212,0.6552776455898318,1.3878287805636873,0.8639599953388892,-0.4895849979079819,0.05592841163310962,5.635040000000001,3.441051730487894,2.6258196955345197,-2.483706265195921
OPTUNA_0019,2,21,22191,7158,3,4,17034,8519,582829,1.9924512000288814,0.6234843098350664,1.2313890795366569,0.6279223867029913,0.10522999076298717,0.0,3.6468000000000003,3.081494787255409,1.721549646731062,-1.2184752879731482
OPTUNA_0019,0,42,7411,7628,9,10,14664,7337,506206,1.3517685999977402,0.5513796746179642,1.6570329239184725,0.9062258308167566,-0.4155586552994387,0.4063974829575249,5.00594,4.28698066183931,2.6656077778578746,-1.9462983142989023
OPTUNA_0019,1,42,15039,7152,9,10,26484,13247,908086,1.8192390999756753,0.6725364779118341,1.3526412586344543,0.8534937267954256,-0.470702926087767,0.04194630872483222,5.635040000000001,3.357275227578593,2.675081104057461,-2.517457648702973
OPTUNA_0019,2,42,22191,7158,3,4,18284,9144,625328,2.1707217000075616,0.6177624268219322,1.240710466470103,0.7321846791702968,0.32710542787703867,0.0,3.6468000000000003,2.8156421790057027,1.4944164085702523,-1.0981740518191672
OPTUNA_0019,0,84,7411,7628,10,11,14957,7484,516827,1.3032088000327349,0.5293655047212725,1.6972020295962145,0.9741467593919777,-0.41310403050048694,0.07865757734661773,5.00594,4.251042969736252,2.777597626602228,-1.8207879327715302
OPTUNA_0019,1,84,15039,7152,7,8,22736,11372,779335,1.8060447999741882,0.6601758478456929,1.3779335895438247,0.8486183867807615,-0.49161886144964567,0.0,5.635040000000001,3.4982803890319825,2.722686734035561,-2.5831377347329476
