candidate_id,source,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective
ANCHOR_COMPACT_identity,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,identity,3,0.5614297972095833,0.5911844592754201,0.6177786441053711,0.05989432283923468,1.2931199072360027,0.7697723701802587,0.5219894572565186,3.354906078921173,0.0,59.0,97059.0,0.7062311958864765
ANCHOR_BALANCED_identity,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,identity,3,0.5393067134975286,0.597393723933443,0.6129871995662397,0.06743345052102466,1.2897897195866577,0.7876841341528654,0.4261129497759128,3.2793264308960084,0.0,186.0,1024323.0,0.6852834719548381
ANCHOR_REGULARIZED_identity,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,identity,3,0.5248503058876254,0.5345430934745923,0.5849052059196214,0.07817682954288155,1.3833083082777011,0.7911810313308231,0.44761080087194016,3.3377286196275446,0.0,423.0,2941101.0,0.6545772377791294
ANCHOR_LITERATURE_SHAPE_identity,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,identity,3,0.5398810883140459,0.5687489946325743,0.5986727191797836,0.06382867546977065,1.3216118882732029,0.8113867443116017,0.41045051742606564,3.3510243457891313,0.004369865408145429,19.0,189096.0,0.678876903198701
ANCHOR_COMPACT_log1p,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,log1p,3,0.5225452423487332,0.6076773593766807,0.6056509475608521,0.0670435589779576,1.323001700673562,0.8126717514939535,0.5665549782014456,3.369181937837034,0.0,235.0,394042.0,0.6711124042440055
ANCHOR_BALANCED_log1p,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,log1p,3,0.5158800217220492,0.6366161163389326,0.6144012359829945,0.07308120406484415,1.3145763395820278,0.8105215282879507,0.5675027458047219,3.34522273875741,0.0,402.0,1715641.0,0.67137999060354
ANCHOR_REGULARIZED_log1p,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,log1p,3,0.4676338020812717,0.588185895958642,0.5797141498730025,0.08825817656237553,1.3301774995639943,0.8010566964172015,0.5868412293331579,3.4413079066456933,0.0,999.0,1473745.0,0.6102673672428135
ANCHOR_LITERATURE_SHAPE_log1p,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,log1p,3,0.47155696179909024,0.590704895972014,0.5792227063778667,0.08361624539736971,1.3467011624290248,0.8137402447521419,0.5791727767734793,3.464192810765079,0.0,28.0,90508.0,0.6150523735222253
