check,pass,status
scaler_fold_train_only,True,PASS
physics_sample_full_fold,True,PASS
knn_fold_train_policy,True,PASS
gradient_units,True,PASS
dropout_physics_deterministic,True,PASS
synthetic_envelope,True,PASS
model_reproducible,True,PASS
serialization,True,PASS
