seed,epoch,loss_data,loss_physics,loss_total,physics_warmup,learning_rate
21,1,0.21748824610278525,0.0012186255816073236,0.21894576503285046,0.25,0.0033816962488181896
21,2,0.1241753073088054,1.544294329097942e-05,0.12421224780123809,0.5,0.003369344808408298
21,3,0.1188482615197527,2.0784026368158358e-05,0.1189228363078216,0.75,0.0033488259463520615
21,4,0.11526831907444987,2.3496888545572613e-05,0.11538073137916367,1.0,0.003320239628482869
21,5,0.10892815708086409,2.693062467564044e-05,0.10905699675966954,1.0,0.0032837251244678934
21,6,0.10075927410146286,2.534358118909636e-05,0.10088052099634862,1.0,0.0032394603293002693
21,7,0.09763317966255648,3.293228125804835e-05,0.09779073233748305,1.0,0.003187660896612573
21,8,0.09308943524956703,3.065907470766527e-05,0.09323611226061294,1.0,0.0031285791880339966
21,9,0.09027342536839945,3.571052406939622e-05,0.09044426885144465,1.0,0.003062503043709864
21,10,0.0899210125207901,4.2520709492801586e-05,0.09012443739278563,1.0,0.0029897543799733708
21,11,0.08422422254907674,2.9437887037445384e-05,0.08436505695612266,1.0,0.0029106876210015717
21,12,0.08357093097834752,3.461154918913335e-05,0.0837365176914067,1.0,0.0028256879720964137
21,13,0.08304155322498288,3.84995734575882e-05,0.08322574018404402,1.0,0.002735169543003228
21,14,0.07998994455255311,3.724447502651762e-05,0.08016812698594455,1.0,0.0026395733304096763
21,15,0.07911212427605843,4.063106048149699e-05,0.0793065086392493,1.0,0.0025393650694542167
21,16,0.07730774330938685,3.713138835337304e-05,0.07748538506185186,1.0,0.002435032964711325
21,17,0.07687793961115952,4.182582456294391e-05,0.07707804004693854,1.0,0.0023270853117078813
21,18,0.07540723013466802,3.63789052024568e-05,0.07558127145828872,1.0,0.0022160480205584594
21,19,0.07487941886587389,3.840157277691419e-05,0.07506313695219057,1.0,0.002102462053784109
21,20,0.07365699491367259,4.1862332150701366e-05,0.07385726979580419,1.0,0.0019868807907973333
21,21,0.07192365118655665,4.799129719842689e-05,0.07215324776439831,1.0,0.0018698673318932164
21,22,0.07099832086984453,3.480774372794007e-05,0.07116484564953837,1.0,0.0017519917548813875
21,23,0.07124363489705941,4.5197952298120326e-05,0.07145986815207991,1.0,0.0016338283377242363
21,24,0.07040702403876288,3.8837779890133696e-05,0.07059282912262554,1.0,0.0015159527607124068
21,25,0.06922968599046099,4.749538373383483e-05,0.06945691000798652,1.0,0.0013989393018082898
21,26,0.06787875127689592,3.381210087260617e-05,0.06804051295179746,1.0,0.001283358038821514
21,27,0.06780203341923911,3.8416246274335146e-05,0.06798582222184231,1.0,0.001169772072047164
21,28,0.06667498428502987,3.5359992831092375e-05,0.06684415125898246,1.0,0.0010587347808977416
21,29,0.06652521014470479,3.231131630196489e-05,0.06667979177216003,1.0,0.0009507871278942979
21,30,0.06503282243321681,3.3677849301213805e-05,0.06519394194514587,1.0,0.0008464550231514063
21,31,0.06571675637929604,3.440348608160877e-05,0.06588134754063754,1.0,0.0007462467621959462
21,32,0.0645265290192489,2.7744144572666143e-05,0.06465926136949966,1.0,0.0006506505496023942
21,33,0.06392585209988315,3.5171959223526786e-05,0.06409411954468694,1.0,0.0005601321205092086
21,34,0.06442092102149437,2.9973753044032492e-05,0.06456431907055707,1.0,0.00047513247160405026
21,35,0.06299372415604262,3.018348848101972e-05,0.06313812572123675,1.0,0.0003960657126322513
21,36,0.06287167221307755,2.984823208078461e-05,0.06301447036194391,1.0,0.0003233170488957581
21,37,0.06276549989807195,3.485127523351272e-05,0.06293223322979336,1.0,0.0002572409045716254
21,38,0.062276813619095706,3.102810865913915e-05,0.062425255903909946,1.0,0.0001981591959930499
21,39,0.061794639019102884,2.4888251792962646e-05,0.0619137074541429,1.0,0.0001463597633053532
