feature,gain
AH,10.305645942687988
AP,10.854276657104492
AT,13.88800048828125
AFDP,14.300117492675781
CDP,17.641508102416992
GTEP,19.24279022216797
TEY,44.234649658203125
TAT,111.84703826904297
TIT,324.96563720703125
