trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
6,OPTUNA_0006,0,42,25813,4032,275,276,98790,49533,3541810,1.9420532,0.8323645268,0.6348467685,0.4181148547,0.0513866006,0.0,3.96909,1.2891712401,0.7402293291,-0.3658959063
6,OPTUNA_0006,3,42,26466,3379,436,437,134297,67367,4855308,2.5694101,0.7386120108,1.0852244849,0.5263541442,0.0377527729,0.0,4.67896,2.8191644082,1.1135258728,-0.9476932295
6,OPTUNA_0006,1,42,27493,2352,186,187,77107,38647,2745848,1.4990903,0.7019346519,1.0050459052,0.5121103956,-0.0070961922,0.0,4.52935,2.6039651356,1.0847803591,-0.7890864971
6,OPTUNA_0006,2,42,26989,2856,352,353,115047,57700,4145368,2.2282696,0.7732638817,0.8146562138,0.5072123054,0.0119634241,0.0,4.35905,1.9094254666,1.1396329427,-0.9227754486
6,OPTUNA_0006,4,42,27061,2784,293,294,102056,51175,3664732,1.9937947,0.7089237898,0.9499004519,0.5399909267,0.120586329,0.0,4.38449,2.2458188043,0.953116899,-0.467085043
7,OPTUNA_0007,0,42,25813,4032,357,358,4104,2231,376122,0.9309534,0.8144556585,0.667897485,0.4490005143,0.0506937134,0.0248015873,3.96909,1.3661124534,0.8254192187,-0.3868220336
7,OPTUNA_0007,3,42,26466,3379,758,759,8607,4683,793319,1.6814345,0.7299720862,1.1030141922,0.5527286489,0.0151121085,0.147972773,4.67896,2.8039866636,1.1758098742,-0.9386790653
7,OPTUNA_0007,1,42,27493,2352,41,42,566,304,47877,0.3147502,0.6845902508,1.0338742297,0.5514854409,-0.0161087217,0.0,4.52935,2.5907077242,1.0951374892,-0.7333249522
7,OPTUNA_0007,2,42,26989,2856,571,572,6532,3552,599610,1.2415339,0.7566025746,0.8440574564,0.5412855575,0.0353196904,0.0,4.35905,1.9513049284,1.1944952669,-0.8750260143
7,OPTUNA_0007,4,42,27061,2784,530,531,6047,3289,556111,1.2082703,0.7057553901,0.9550563497,0.5558699855,0.1301303109,0.0,4.38449,2.2576065453,0.9890016566,-0.4296735694
8,OPTUNA_0008,0,42,25813,4032,49,50,6322,3186,248878,0.7533996,0.8209370668,0.6561283425,0.4241145049,-0.0246934977,0.0,3.96909,1.3986475593,0.7956778597,-0.40517822
8,OPTUNA_0008,3,42,26466,3379,108,109,13469,6789,530689,1.0316874,0.7340324754,1.0946898101,0.5225736528,-0.0448769649,0.0,4.67896,2.9008568567,1.2100200485,-1.0029595016
8,OPTUNA_0008,1,42,27493,2352,32,33,4847,2440,187550,0.7309133,0.6977413708,1.0120908719,0.5182996787,-0.1001350517,0.0,4.52935,2.6207970792,1.1131219982,-0.8689251789
