rank,candidate_id,source,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective
1,ANCHOR_BALANCED_identity,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,identity,5,0.7093131042403535,0.7444642877182968,0.7583825325940786,0.046042634001869094,0.9293187910882656,0.5043006038397316,0.03146826764531806,2.2265519415776724,0.0,337.0,2092218.0,0.8931270444698344
2,OPTUNA_0013,OPTUNA,0.0056904493167425005,11,109.58293295001367,0.004011176085274577,0.7334920799834144,0.9718158731180819,0.22371335137036383,2.0310893752663546,identity,5,0.7082505880343157,0.7321240383387131,0.7540202630914944,0.04482789470086145,0.9287672853838869,0.5101017030905995,0.03333182462742789,2.2191734022291145,0.0,1269.0,6528590.0,0.889040202883951
3,OPTUNA_0025,OPTUNA,0.00786045505578827,16,37.473716696487394,0.0,0.6240837245473698,0.9228026464333574,0.0001879819392485642,43.41541005310457,identity,5,0.7080321764931558,0.7383484200783205,0.7582599630252644,0.046621547171568876,0.9254128922097921,0.5076455429414957,0.03253407401554548,2.2210678528099357,0.0,922.0,10628036.0,0.8902882041541574
4,OPTUNA_0034,OPTUNA,0.014817391305889495,16,34.701917818612486,0.0,0.6602477169373391,0.8222775513509841,0.010270811028086751,0.0012814503013962638,identity,5,0.7075973548822736,0.7421647010613819,0.7554023088636843,0.04321914833650766,0.929895576383513,0.5031259721778656,0.02978419674177366,2.2241863110202247,0.0,349.0,6001318.0,0.8909775727307937
5,OPTUNA_0032,OPTUNA,0.0051351006045633335,16,20.682344017852174,0.0,0.7705153960761711,0.7897621328023746,0.0007920180224638815,0.020008951369755484,identity,5,0.7075401468523852,0.7403160460909521,0.7552573036581988,0.04326631474172606,0.9274992839087824,0.5013251262445807,0.028792600853170168,2.2177585064102483,0.0,827.0,26011355.0,0.890455842638037
6,OPTUNA_0022,OPTUNA,0.005552150948502562,15,62.72099838663614,0.0,0.6980386398063066,0.9439040856886202,0.00024609349060242876,18.47246807243589,identity,5,0.7073547113277742,0.7392442905312713,0.7568386297206533,0.046680602897883366,0.9311612571689715,0.5090041801998048,0.032940536768742035,2.228119578698466,0.0,1089.0,9864755.0,0.8898317538156978
7,OPTUNA_0033,OPTUNA,0.005651408254279642,14,28.247986258185417,7.512102938299515e-06,0.6991535594943881,0.9097812656461699,0.002913375640595785,0.0015529878058904531,identity,5,0.7069767469451431,0.7410787905724354,0.7547208235125897,0.04211876532182066,0.9258532986490182,0.5020490757150358,0.030129920545051987,2.2216593361390435,0.0,815.0,15139154.0,0.8901405063221609
8,OPTUNA_0024,OPTUNA,0.0070689763300617065,11,9.711453843051592,0.0,0.7265235260461025,0.8064767865954756,0.0006630278217733502,160.07493731229206,identity,5,0.7069649786559654,0.7381523013440878,0.7591201494128914,0.04841066129393368,0.9229796047756563,0.5072872441491594,0.027125397376147775,2.216801807062705,0.0,1891.0,24242284.0,0.8890825209272907
9,OPTUNA_0029,OPTUNA,0.007226813327726407,14,5.09735251920313,0.0,0.7832583336793043,0.7979410601140127,0.0008520368975785492,0.08763340779926918,identity,5,0.7068795466056843,0.7445677890811511,0.7557523070097186,0.044210227809291645,0.9322651041876866,0.5036324587742617,0.03009173024922097,2.2295141815053423,0.0,543.0,32526653.0,0.8908109824855075
10,OPTUNA_0035,OPTUNA,0.014275533035192302,14,28.66148692376108,0.0,0.723027084193612,0.8044802820511837,0.04599656683551179,0.004820292987960818,identity,5,0.7065829913829755,0.7404648759848698,0.754801148332856,0.04305453566680106,0.9273363191870346,0.5034976926932984,0.03652127361457078,2.2250341305573573,0.0,290.0,5773032.0,0.889546483595853
