candidate_id,source,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective
ANCHOR_COMPACT_identity,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,identity,5,0.694559823160243,0.732581114087143,0.7423597872949694,0.04598615047930924,0.9613681803942281,0.5303333234360559,0.033264325228665154,2.2932638594076877,0.0059189109203906486,539.0,880998.0,0.8754057941580633
ANCHOR_BALANCED_identity,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,identity,5,0.7093131042403535,0.7444642877182968,0.7583825325940786,0.046042634001869094,0.9293187910882656,0.5043006038397316,0.03146826764531806,2.2265519415776724,0.0,337.0,2092218.0,0.8931270444698344
ANCHOR_REGULARIZED_identity,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,identity,5,0.705730845879488,0.741041228830432,0.7569007075409588,0.046273092862367374,0.9293259349041828,0.5091639597829637,0.03698247502269962,2.2392424114789566,0.0,495.0,4233456.0,0.8886774984439776
ANCHOR_LITERATURE_SHAPE_identity,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,identity,5,0.6976815767425615,0.7329544506915135,0.7485753838666953,0.048163078463150516,0.9502436214243741,0.5195230999976729,0.04715746934462603,2.2614801365724793,0.0,13.0,207317.0,0.8785120354922824
ANCHOR_COMPACT_log1p,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,log1p,5,0.6936968453201157,0.7311016974444169,0.7463917366059267,0.04425662267499153,0.9315002119037527,0.5198049312210956,0.056631306711949644,2.281549010881761,0.0,606.0,1006511.0,0.8742594385474703
ANCHOR_BALANCED_log1p,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,log1p,5,0.705922709915933,0.7326506546692633,0.7577908612187763,0.04705535122266175,0.9123579783343,0.4959027198493482,0.046063512423312004,2.241019369080025,0.0,237.0,1782374.0,0.8867326060221157
ANCHOR_REGULARIZED_log1p,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,log1p,5,0.7034880843528726,0.7244504498514154,0.7513189696436297,0.047461639551582405,0.9288888483402098,0.5084326854364541,0.06425898928961993,2.273837835340788,0.0,725.0,2063957.0,0.8822276148381473
ANCHOR_LITERATURE_SHAPE_log1p,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,log1p,5,0.700011736202615,0.719759507778405,0.7434293981324688,0.046024579358166326,0.9478099498376826,0.5185995038497255,0.05790992659480621,2.2970556506983253,0.0,13.0,125784.0,0.877650384179308
