candidate,trial_number,config_hash,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_mean,g_star_median,g_star_q05,g_star_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,0,21,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,7.707870299986098,0.029951095581054688,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7488288153019367,5.124093867187982,3.629342724280515,0.06559847829750245,0.5011369644816848,-0.648197070553344,5.083263319979176,0.8695001276432888,0.8050810892715252,12.76007308773613,0.0,100.0,0.0,0.0,0.5186148881912231,0.522108793258667,0.227003812789917,0.7692223787307739,0.5186148881912231,0.522108793258667,0.227003812789917,0.7692223787307739,99.12109375,0.87890625,0.0,-2.4179868698120117,5,77665,7.707586399978027,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,1,21,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,45060,31.915281599969603,0.029592037200927734,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6483680322863874,7.14393910193509,5.16535865060435,0.09312674593618897,0.5929441813274066,-1.2890093273231114,7.027177625475335,0.8123130533392614,0.6549390713830158,22.867981270755916,0.0,100.0,0.0,0.0,0.6760618090629578,0.6164060831069946,0.3058805763721466,1.2114120721817017,0.6760618090629578,0.6164060831069946,0.3058805763721466,1.2114120721817017,64.111328125,35.888671875,0.0,-0.8392879962921143,125,77665,31.91497740003979,512,2048,deterministic_evenly_spaced_full_fold,1280,1265,98.828125,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,2,21,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,49036,23.45186199998716,0.029920578002929688,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.33311535416156,8.142645128329825,6.015869141957319,0.08919829844122745,0.816573009289836,4.486306073779533,6.795747149910314,0.7430323460112522,0.6476602888057593,25.650255292745495,0.0,100.0,0.0,0.0,0.4588181674480438,0.42283087968826294,0.2270556539297104,0.8283649682998657,0.4588181674480438,0.42283087968826294,0.2270556539297104,0.8283649682998657,69.82421875,30.17578125,0.0,-1.389045000076294,30,77665,23.451567400014028,512,2048,deterministic_evenly_spaced_full_fold,1280,1262,98.59375,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,7.774885200022254,0.02995157241821289,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7437361952935899,5.1757799604742765,3.581710292334074,0.06626016193496173,0.5061918702985497,-1.3142804564389496,5.006460921210219,0.8728921666278523,0.7261556727300656,17.52318743022063,0.0,100.0,0.0,0.0,0.4140629172325134,0.4098956286907196,0.2524541914463043,0.568825900554657,0.4140629172325134,0.4098956286907196,0.2524541914463043,0.568825900554657,99.951171875,0.048828125,0.0,-1.8545759916305542,10,77665,7.774595400027465,512,2048,deterministic_evenly_spaced_full_fold,1280,1275,99.609375,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,49036,29.865737200016156,0.029592514038085938,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.671377026188617,6.906253715285289,5.045623008570148,0.0900283339397478,0.5732163862007126,-0.9829263479117579,6.83642676785837,0.8242591289947842,0.6489005183556436,23.59681065988944,0.0,100.0,0.0,0.0,0.5940733551979065,0.5467936396598816,0.2879336178302765,1.0331649780273438,0.5940733551979065,0.5467936396598816,0.2879336178302765,1.0331649780273438,66.162109375,33.837890625,0.0,-0.7749714255332947,115,77665,29.86543249996612,512,2048,deterministic_evenly_spaced_full_fold,1280,1269,99.140625,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,45060,54.0295106000267,0.029920578002929688,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4251800136942453,7.559726412528315,5.5307797751436025,0.08281273739078472,0.7581158762045042,2.576571825330702,7.107587395947357,0.7023012355843447,0.5182894518016625,31.511424345231763,0.0,99.51171875,0.48828125,0.0,0.6090822219848633,0.5495668649673462,0.17747215926647186,1.1659241914749146,0.6090822219848633,0.5495668649673462,0.17747215926647186,1.1659241914749146,67.041015625,32.958984375,0.0,-0.871349573135376,155,77665,54.02920059999451,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,0,84,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,7.605070199992042,0.02995157241821289,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7680853191355997,4.923753365605297,3.427556546995886,0.06303372589721228,0.48154364058323285,-0.27179672159195944,4.916568181495495,0.8771832338914984,0.746942092240534,17.1357948776501,0.0,100.0,0.0,0.0,0.34579968452453613,0.34975969791412354,0.2521597743034363,0.4306524097919464,0.34579968452453613,0.34975969791412354,0.2521597743034363,0.4306524097919464,100.0,0.0,0.0,-2.309971332550049,10,77665,7.604792700032704,512,2048,deterministic_evenly_spaced_full_fold,1280,1274,99.53125,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,1,84,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,49036,34.211776299984194,0.029592037200927734,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6502721540490339,7.124570278140616,5.1006008447950055,0.09287425840699065,0.5913365764466513,-1.1958028032742358,7.023991427802025,0.8125801608906466,0.6706350871534202,21.862342709930417,0.0,100.0,0.0,0.0,0.6897671818733215,0.6311051845550537,0.31018903851509094,1.254287838935852,0.6897671818733215,0.6311051845550537,0.31018903851509094,1.254287838935852,71.240234375,28.759765625,0.0,-1.1468520164489746,145,77665,34.2114758999669,512,2048,deterministic_evenly_spaced_full_fold,1280,1260,98.4375,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,2,84,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,45060,51.33392639999511,0.02992105484008789,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3578471095050877,7.990231633127455,5.9542778467592425,0.08752869056598898,0.8012884494849671,3.2150662007295874,7.315369237038343,0.6922730959491193,0.5706298629902697,29.005993215495597,0.0,99.755859375,0.244140625,0.0,0.6754930019378662,0.6269325017929077,0.19908691942691803,1.3230518102645874,0.6754930019378662,0.6269325017929077,0.19908691942691803,1.3230518102645874,76.5625,23.4375,0.0,-1.516908884048462,150,77665,51.33362340001622,512,2048,deterministic_evenly_spaced_full_fold,1280,1266,98.90625,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,0,126,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,7.938273800013121,0.029950618743896484,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7496802229446888,5.115401795135019,3.616658914383007,0.06548720268181207,0.5002868788437983,-0.7904703143259337,5.054289382739064,0.8708901629999831,0.8044680360589445,12.659971140042343,0.0,100.0,0.0,0.0,0.4480377435684204,0.467570960521698,0.19340385496616364,0.689150333404541,0.4480377435684204,0.467570960521698,0.19340385496616364,0.689150333404541,100.0,0.0,0.0,-2.1296744346618652,5,77665,7.937928800005466,512,2048,deterministic_evenly_spaced_full_fold,1280,1251,97.734375,1.4832095268464458,20,0.99,1.4832095268464458
