trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_mean,g_star_median,g_star_q05,g_star_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
0,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,9.07389709999552,0.029930591583251953,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7413169518175181,5.2001533957627215,3.8137414374148966,0.06657218983828389,0.5085755950489211,0.6485077093331427,5.159895682852518,0.864920190250086,0.7027562359359775,21.095598638284397,0.0,99.560546875,0.439453125,0.0,0.3161928355693817,0.3181040585041046,0.16250233352184296,0.46341192722320557,0.3161928355693817,0.3181040585041046,0.16250233352184296,0.46341192722320557,99.21875,0.78125,0.0,-2.1413683891296387,20,76273,9.073546900006477,512,2048,deterministic_evenly_spaced_full_fold,1280,1275,99.609375,1.4832095268464458,20,0.99,1.4832095268464458
0,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,44448,37.51924529997632,0.029571533203125,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.640878057344417,7.2196233211939616,5.246147689669991,0.09411334799952271,0.5992259422421518,-1.9259117652372493,6.958490855772446,0.8164264366283629,0.6754393819545738,20.795895163338223,0.0,100.0,0.0,0.0,0.6602129936218262,0.5597503185272217,0.21442529559135437,1.4894957542419434,0.6602129936218262,0.5597503185272217,0.21442529559135437,1.4894957542419434,71.09375,28.90625,0.0,-1.2761752605438232,160,76273,37.518944899959024,512,2048,deterministic_evenly_spaced_full_fold,1280,1269,99.140625,1.598838673557433,20,0.99,1.598838673557433
0,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,40640,30.9522315999493,0.02989959716796875,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3957699602083863,7.750706740096309,5.5539392941355805,0.08490482417417466,0.7772680532108159,3.7093233781075403,6.805941980881912,0.7520736455752832,0.6989958515995999,21.789705205781296,0.0,99.90234375,0.09765625,0.0,0.4700859785079956,0.4350859224796295,0.12846378982067108,0.9615388512611389,0.4700859785079956,0.4350859224796295,0.12846378982067108,0.9615388512611389,75.87890625,24.12109375,0.0,-1.7979629039764404,55,76273,30.951899500039872,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.425508144193831,20,0.99,1.425508144193831
1,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,14.55520310002612,0.02502918243408203,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7660165491617243,4.945665514091398,3.346265125224649,0.06331424448921574,0.4836866512036887,-0.899516447714379,4.863494466552679,0.8798578143520982,0.7915921441065233,13.436644289517634,0.0,100.0,0.0,0.0,0.5354270339012146,0.5347317457199097,0.35905882716178894,0.6840959191322327,0.5354270339012146,0.5347317457199097,0.35905882716178894,0.6840959191322327,100.0,0.0,0.0,-1.7658878564834595,40,9089,14.554931899998337,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.4832095268464458,20,0.99,1.4832095268464458
1,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,40640,41.86919510003645,0.025124073028564453,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6405042685276666,7.223379583755882,5.236175251753805,0.09416231377376606,0.5995377105814179,-1.3589641429167199,7.094890225068183,0.8085482353238623,0.6352801326582989,24.174307449491696,0.0,100.0,0.0,0.0,0.5496768951416016,0.5166247487068176,0.3502404987812042,0.8807105422019958,0.5496768951416016,0.5166247487068176,0.3502404987812042,0.8807105422019958,91.162109375,8.837890625,0.0,-0.9718127250671387,125,9089,41.86892929999158,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.598838673557433,20,0.99,1.598838673557433
1,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,44448,28.08546049997676,0.02544689178466797,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.18291774785552883,9.013076085414653,7.463513762300059,0.09873340147702203,0.9038628782211104,6.074466459909009,6.65902339527619,0.7759822192718486,0.7723207588110516,19.750449454852134,0.0,97.900390625,2.099609375,0.0,0.2841742932796478,0.30847495794296265,0.0711832195520401,0.4204593598842621,0.2841742932796478,0.30847495794296265,0.0711832195520401,0.4204593598842621,100.0,0.0,0.0,-3.348707675933838,1,9089,28.085173500003293,256,2048,deterministic_evenly_spaced_full_fold,320,319,99.6875,1.425508144193831,20,0.99,1.425508144193831
2,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,6.521154499961995,0.021326541900634766,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7416071846829444,5.19723538663682,3.683778956852849,0.06653483358305541,0.5082902134236843,-1.183560832983296,5.061007536463422,0.869081132295895,0.7702152693858674,14.623092994545848,0.0,98.6328125,1.3671875,0.0,0.5058712363243103,0.5252400636672974,0.13906925916671753,0.8640916347503662,0.5058712363243103,0.5252400636672974,0.13906925916671753,0.8640916347503662,100.0,0.0,0.0,-3.324939727783203,30,4865,6.52084290003404,512,2048,deterministic_evenly_spaced_full_fold,640,634,99.0625,1.4832095268464458,20,0.99,1.4832095268464458
2,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,44448,23.845548300014343,0.021648406982421875,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6472892496573889,7.154889266045083,5.179316809780112,0.09326948975531736,0.5938530407116981,-1.533856492181219,6.989031009107808,0.8190153576218501,0.6008721139597509,26.4082481939385,0.0,100.0,0.0,0.0,0.4411567747592926,0.4451411962509155,0.2575491666793823,0.6147273182868958,0.4411567747592926,0.4451411962509155,0.2575491666793823,0.6147273182868958,87.59765625,12.40234375,0.0,-1.6017175912857056,140,4865,23.84528180002235,512,2048,deterministic_evenly_spaced_full_fold,640,630,98.4375,1.598838673557433,20,0.99,1.598838673557433
2,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,40640,26.065695800003596,0.021968364715576172,0.025390625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.061527503393370875,9.659417183427577,7.835095765304885,0.10581372061739612,0.9686802302135048,6.987841076409893,6.669380145772609,0.7606601451750405,0.7011052398201542,24.941518522588936,0.0,100.0,0.0,0.0,0.42455172538757324,0.39926931262016296,0.23874542117118835,0.778344988822937,0.42455172538757324,0.39926931262016296,0.23874542117118835,0.778344988822937,62.109375,37.890625,0.0,-0.3287423253059387,90,4865,26.065432199975476,512,2048,deterministic_evenly_spaced_full_fold,640,635,99.21875,1.425508144193831,20,0.99,1.425508144193831
3,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,6.848908999993,0.024271488189697266,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7536166458458459,5.075021091469144,3.510959527726316,0.06497025026413175,0.49633764142089837,-0.7995126656230732,5.011976825102063,0.8719673856922658,0.7816077379922631,14.223465035903205,0.0,90.13671875,9.86328125,0.0,0.17132394015789032,0.18829524517059326,-0.12148331850767136,0.3303163945674896,0.17132394015789032,0.18829524517059326,-0.12148331850767136,0.3303163945674896,99.609375,0.390625,0.0,-0.6880877614021301,10,16545,6.848622100020293,512,2048,deterministic_evenly_spaced_full_fold,640,634,99.0625,1.4832095268464458,20,0.99,1.4832095268464458
