candidate,trial_number,config_hash,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_mean,g_star_median,g_star_q05,g_star_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,0,21,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,8.748575300036464,0.02993011474609375,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7213227276586389,5.397379378240865,3.689406092903285,0.06909707026917189,0.5278643186238182,-1.7946941508756737,5.090596654724097,0.870713089928594,0.6906579654222305,19.484624286890043,0.0,100.0,0.0,0.0,0.272394061088562,0.27916181087493896,0.15060310065746307,0.3794628381729126,0.272394061088562,0.27916181087493896,0.15060310065746307,0.3794628381729126,89.306640625,10.693359375,0.0,-2.0064406394958496,15,76273,8.748274900019169,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.4832095268464458,20,0.99,1.4832095268464458
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,1,21,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,49036,15.610813700011931,0.029571056365966797,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5955333999892367,7.661872143218796,5.27322803247695,0.0998784018586926,0.6359324233552809,-2.5617268160152222,7.221435591656504,0.8004742639907131,0.6380959540621949,22.7744150362849,0.0,100.0,0.0,0.0,0.3694537281990051,0.3795992136001587,0.21518170833587646,0.5174239873886108,0.3694537281990051,0.3795992136001587,0.21518170833587646,0.5174239873886108,99.169921875,0.830078125,0.0,-1.2470316886901855,15,76273,15.610478100017644,512,2048,deterministic_evenly_spaced_full_fold,1280,1265,98.828125,1.598838673557433,20,0.99,1.598838673557433
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,2,21,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,45060,46.00835780001944,0.02989959716796875,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.35759314685338495,7.99181149039413,6.173586768656344,0.08754599705273211,0.8014468831121443,3.902860329983187,6.97449122371509,0.723640483920105,0.6056951080817464,27.587527269916258,0.0,98.876953125,1.123046875,0.0,0.522508978843689,0.4616904556751251,0.10576122999191284,1.0868737697601318,0.522508978843689,0.4616904556751251,0.10576122999191284,1.0868737697601318,59.716796875,40.283203125,0.0,-0.586189866065979,100,76273,46.00802839995595,512,2048,deterministic_evenly_spaced_full_fold,1280,1262,98.59375,1.425508144193831,20,0.99,1.425508144193831
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,9.35790410003392,0.029930591583251953,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7413169518175181,5.2001533957627215,3.8137414374148966,0.06657218983828389,0.5085755950489211,0.6485077093331427,5.159895682852518,0.864920190250086,0.7027562359359775,21.095598638284397,0.0,99.560546875,0.439453125,0.0,0.3161928355693817,0.3181040585041046,0.16250233352184296,0.46341192722320557,0.3161928355693817,0.3181040585041046,0.16250233352184296,0.46341192722320557,99.21875,0.78125,0.0,-2.1413683891296387,20,76273,9.357484000036493,512,2048,deterministic_evenly_spaced_full_fold,1280,1275,99.609375,1.4832095268464458,20,0.99,1.4832095268464458
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,49036,41.80748720001429,0.029571533203125,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.640878057344417,7.2196233211939616,5.246147689669991,0.09411334799952271,0.5992259422421518,-1.9259117652372493,6.958490855772446,0.8164264366283629,0.6754393819545738,20.795895163338223,0.0,100.0,0.0,0.0,0.6602129936218262,0.5597503185272217,0.21442529559135437,1.4894957542419434,0.6602129936218262,0.5597503185272217,0.21442529559135437,1.4894957542419434,71.09375,28.90625,0.0,-1.2761752605438232,160,76273,41.807142800011206,512,2048,deterministic_evenly_spaced_full_fold,1280,1269,99.140625,1.598838673557433,20,0.99,1.598838673557433
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,45060,32.82661339995684,0.02989959716796875,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3957699602083863,7.750706740096309,5.5539392941355805,0.08490482417417466,0.7772680532108159,3.7093233781075403,6.805941980881912,0.7520736455752832,0.6989958515995999,21.789705205781296,0.0,99.90234375,0.09765625,0.0,0.4700859785079956,0.4350859224796295,0.12846378982067108,0.9615388512611389,0.4700859785079956,0.4350859224796295,0.12846378982067108,0.9615388512611389,75.87890625,24.12109375,0.0,-1.7979629039764404,55,76273,32.82626220001839,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.425508144193831,20,0.99,1.425508144193831
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,0,84,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,9.757335699978285,0.029930591583251953,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7242357650090897,5.369095636961084,3.847009879353788,0.06873498275934019,0.5250981655016247,0.20454742749698762,5.365549594072186,0.8568182862245768,0.8176567819621587,12.74774869948156,0.0,99.951171875,0.048828125,0.0,0.3651866018772125,0.360921710729599,0.21587540209293365,0.5588973164558411,0.3651866018772125,0.360921710729599,0.21587540209293365,0.5588973164558411,100.0,0.0,0.0,-1.813070297241211,25,76273,9.75703199999407,512,2048,deterministic_evenly_spaced_full_fold,1280,1274,99.53125,1.4832095268464458,20,0.99,1.4832095268464458
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,1,84,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,45060,31.266266599996015,0.029571056365966797,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6572506102464633,7.053130402454572,5.172115212318881,0.0919429846296253,0.5854070944062293,-1.0106008106163418,6.980841514798125,0.8152908475029934,0.6481544788286512,23.62136485695109,0.0,100.0,0.0,0.0,0.4906277060508728,0.4256611168384552,0.2198905050754547,1.0283015966415405,0.4906277060508728,0.4256611168384552,0.2198905050754547,1.0283015966415405,69.921875,30.078125,0.0,-1.0225881338119507,100,76273,31.26586159999715,512,2048,deterministic_evenly_spaced_full_fold,1280,1260,98.4375,1.598838673557433,20,0.99,1.598838673557433
ANCHOR_R7_TIT_INC_ADAPTED,0,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0,COMPLETE,2,84,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,49036,29.05355499999132,0.029900074005126953,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3891884866015841,7.7928040478475396,5.718788853368468,0.08536597754156164,0.781489718865116,3.8444702623276177,6.778957391569931,0.7583001582286935,0.7212179989903785,20.59003689894405,0.0,99.51171875,0.48828125,0.0,0.39358508586883545,0.3568251132965088,0.13704781234264374,0.7465399503707886,0.39358508586883545,0.3568251132965088,0.13704781234264374,0.7465399503707886,70.849609375,29.150390625,0.0,-1.4917476177215576,40,76273,29.053259099950083,512,2048,deterministic_evenly_spaced_full_fold,1280,1266,98.90625,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0033_TIT_INC,33,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65,COMPLETE,0,21,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,48172,7.707870299986098,0.029951095581054688,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7488288153019367,5.124093867187982,3.629342724280515,0.06559847829750245,0.5011369644816848,-0.648197070553344,5.083263319979176,0.8695001276432888,0.8050810892715252,12.76007308773613,0.0,100.0,0.0,0.0,0.5186148881912231,0.522108793258667,0.227003812789917,0.7692223787307739,0.5186148881912231,0.522108793258667,0.227003812789917,0.7692223787307739,99.12109375,0.87890625,0.0,-2.4179868698120117,5,77665,7.707586399978027,512,2048,deterministic_evenly_spaced_full_fold,1280,1259,98.359375,1.4832095268464458,20,0.99,1.4832095268464458
